team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school_for_merge_x,conference,school_for_merge_y,AP Top 25
Air Force,Delay of Game,Procedural,1,2,2.0,Air Force,MWC,,
Air Force,Face Mask,Other,2,17,8.5,Air Force,MWC,,
Air Force,False Start,Procedural,8,35,4.38,Air Force,MWC,,
Air Force,Holding,Blocking / Holding,11,48,4.36,Air Force,MWC,,
Air Force,Illegal Formation,Procedural,3,11,3.67,Air Force,MWC,,
Air Force,Offside,Procedural,3,10,3.33,Air Force,MWC,,
Air Force,Other / Unclassified,Administrative,2,5,2.5,Air Force,MWC,,
Air Force,Other / Unclassified,Blocking / Holding,1,4,4.0,Air Force,MWC,,
Air Force,Other / Unclassified,Other,1,10,10.0,Air Force,MWC,,
Air Force,Pass Interference,Personal / Contact,2,7,3.5,Air Force,MWC,,
Air Force,Personal Foul,Personal / Contact,4,9,2.25,Air Force,MWC,,
Air Force,Roughing the Passer,Personal / Contact,2,28,14.0,Air Force,MWC,,
Akron,Delay of Game,Procedural,9,35,3.89,Akron,MAC,,
Akron,Face Mask,Other,7,117,16.71,Akron,MAC,,
Akron,False Start,Procedural,13,110,8.46,Akron,MAC,,
Akron,Holding,Blocking / Holding,8,109,13.62,Akron,MAC,,
Akron,Illegal Formation,Procedural,1,49,49.0,Akron,MAC,,
Akron,Offside,Procedural,8,24,3.0,Akron,MAC,,
Akron,Other / Unclassified,Administrative,3,7,2.33,Akron,MAC,,
Akron,Other / Unclassified,Blocking / Holding,1,0,0.0,Akron,MAC,,
Akron,Other / Unclassified,Other,8,51,6.38,Akron,MAC,,
Akron,Pass Interference,Personal / Contact,9,126,14.0,Akron,MAC,,
Akron,Personal Foul,Personal / Contact,9,90,10.0,Akron,MAC,,
Akron,Roughing,Personal / Contact,2,0,0.0,Akron,MAC,,
Akron,Roughing the Passer,Personal / Contact,1,15,15.0,Akron,MAC,,
Akron,Targeting,Personal / Contact,1,15,15.0,Akron,MAC,,
Akron,Unsportsmanlike Conduct,Personal / Contact,2,15,7.5,Akron,MAC,,
Alabama,Delay of Game,Procedural,3,15,5.0,Alabama,SEC,Alabama,10.0
Alabama,False Start,Procedural,9,20,2.22,Alabama,SEC,Alabama,10.0
Alabama,Holding,Blocking / Holding,11,97,8.82,Alabama,SEC,Alabama,10.0
Alabama,Illegal Formation,Procedural,1,28,28.0,Alabama,SEC,Alabama,10.0
Alabama,Illegal Motion,Other,1,5,5.0,Alabama,SEC,Alabama,10.0
Alabama,Offside,Procedural,7,25,3.57,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Administrative,1,5,5.0,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Other,3,13,4.33,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Procedural,2,8,4.0,Alabama,SEC,Alabama,10.0
Alabama,Pass Interference,Personal / Contact,6,112,18.67,Alabama,SEC,Alabama,10.0
Alabama,Personal Foul,Personal / Contact,11,132,12.0,Alabama,SEC,Alabama,10.0
Alabama,Roughing,Personal / Contact,1,0,0.0,Alabama,SEC,Alabama,10.0
Alabama,Targeting,Personal / Contact,1,15,15.0,Alabama,SEC,Alabama,10.0
Alabama,Unsportsmanlike Conduct,Personal / Contact,2,5,2.5,Alabama,SEC,Alabama,10.0
App State,Delay of Game,Procedural,5,20,4.0,App State,SBC,,
App State,Face Mask,Other,4,56,14.0,App State,SBC,,
App State,False Start,Procedural,5,25,5.0,App State,SBC,,
App State,Holding,Blocking / Holding,12,31,2.58,App State,SBC,,
App State,Illegal Formation,Procedural,2,13,6.5,App State,SBC,,
App State,Offside,Procedural,10,46,4.6,App State,SBC,,
App State,Other / Unclassified,Administrative,1,7,7.0,App State,SBC,,
App State,Other / Unclassified,Other,1,0,0.0,App State,SBC,,
App State,Other / Unclassified,Safety / Tackling,1,0,0.0,App State,SBC,,
App State,Pass Interference,Personal / Contact,13,121,9.31,App State,SBC,,
App State,Pass Interference,Procedural,1,0,0.0,App State,SBC,,
App State,Personal Foul,Personal / Contact,2,30,15.0,App State,SBC,,
App State,Roughing the Passer,Personal / Contact,7,32,4.57,App State,SBC,,
App State,Targeting,Personal / Contact,1,15,15.0,App State,SBC,,
App State,Unsportsmanlike Conduct,Personal / Contact,2,30,15.0,App State,SBC,,
Arizona,Face Mask,Other,3,43,14.33,Arizona,Big 12,,
Arizona,False Start,Procedural,7,35,5.0,Arizona,Big 12,,
Arizona,Holding,Blocking / Holding,30,232,7.73,Arizona,Big 12,,
Arizona,Offside,Procedural,7,21,3.0,Arizona,Big 12,,
Arizona,Other / Unclassified,Administrative,3,7,2.33,Arizona,Big 12,,
Arizona,Other / Unclassified,Blocking / Holding,2,16,8.0,Arizona,Big 12,,
Arizona,Other / Unclassified,Other,4,41,10.25,Arizona,Big 12,,
Arizona,Other / Unclassified,Procedural,1,5,5.0,Arizona,Big 12,,
Arizona,Pass Interference,Personal / Contact,8,61,7.62,Arizona,Big 12,,
Arizona,Personal Foul,Personal / Contact,1,0,0.0,Arizona,Big 12,,
Arizona,Roughing the Passer,Personal / Contact,3,45,15.0,Arizona,Big 12,,
Arizona,Targeting,Personal / Contact,2,15,7.5,Arizona,Big 12,,
Arizona State,Delay of Game,Procedural,5,20,4.0,Arizona State,Big 12,,
Arizona State,Face Mask,Other,2,19,9.5,Arizona State,Big 12,,
Arizona State,False Start,Procedural,14,61,4.36,Arizona State,Big 12,,
Arizona State,Holding,Blocking / Holding,24,309,12.88,Arizona State,Big 12,,
Arizona State,Illegal Formation,Procedural,2,9,4.5,Arizona State,Big 12,,
Arizona State,Offside,Procedural,4,49,12.25,Arizona State,Big 12,,
Arizona State,Other / Unclassified,Administrative,4,77,19.25,Arizona State,Big 12,,
Arizona State,Other / Unclassified,Blocking / Holding,1,4,4.0,Arizona State,Big 12,,
Arizona State,Other / Unclassified,Other,3,6,2.0,Arizona State,Big 12,,
Arizona State,Other / Unclassified,Procedural,1,21,21.0,Arizona State,Big 12,,
Arizona State,Pass Interference,Personal / Contact,14,134,9.57,Arizona State,Big 12,,
Arizona State,Personal Foul,Personal / Contact,2,15,7.5,Arizona State,Big 12,,
Arizona State,Roughing,Personal / Contact,1,0,0.0,Arizona State,Big 12,,
Arizona State,Roughing the Passer,Personal / Contact,4,44,11.0,Arizona State,Big 12,,
Arizona State,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,Arizona State,Big 12,,
Arkansas,Delay of Game,Procedural,1,5,5.0,Arkansas,SEC,,
Arkansas,Face Mask,Other,3,61,20.33,Arkansas,SEC,,
Arkansas,False Start,Procedural,6,30,5.0,Arkansas,SEC,,
Arkansas,Holding,Blocking / Holding,23,215,9.35,Arkansas,SEC,,
Arkansas,Illegal Formation,Procedural,2,16,8.0,Arkansas,SEC,,
Arkansas,Illegal Motion,Other,1,9,9.0,Arkansas,SEC,,
Arkansas,Offside,Procedural,7,73,10.43,Arkansas,SEC,,
Arkansas,Other / Unclassified,Administrative,3,5,1.67,Arkansas,SEC,,
Arkansas,Other / Unclassified,Other,6,58,9.67,Arkansas,SEC,,
Arkansas,Pass Interference,Personal / Contact,7,97,13.86,Arkansas,SEC,,
Arkansas,Personal Foul,Personal / Contact,5,131,26.2,Arkansas,SEC,,
Arkansas,Roughing the Passer,Personal / Contact,1,33,33.0,Arkansas,SEC,,
Arkansas,Targeting,Personal / Contact,1,5,5.0,Arkansas,SEC,,
Arkansas,Unsportsmanlike Conduct,Personal / Contact,2,30,15.0,Arkansas,SEC,,
Arkansas State,Face Mask,Other,1,15,15.0,Arkansas State,SBC,,
Arkansas State,False Start,Procedural,22,45,2.05,Arkansas State,SBC,,
Arkansas State,Holding,Blocking / Holding,24,71,2.96,Arkansas State,SBC,,
Arkansas State,Illegal Formation,Procedural,3,47,15.67,Arkansas State,SBC,,
Arkansas State,Offside,Procedural,2,24,12.0,Arkansas State,SBC,,
Arkansas State,Other / Unclassified,Administrative,1,4,4.0,Arkansas State,SBC,,
Arkansas State,Other / Unclassified,Other,5,22,4.4,Arkansas State,SBC,,
Arkansas State,Pass Interference,Personal / Contact,25,117,4.68,Arkansas State,SBC,,
Arkansas State,Personal Foul,Personal / Contact,8,51,6.38,Arkansas State,SBC,,
Arkansas State,Roughing,Personal / Contact,1,0,0.0,Arkansas State,SBC,,
Arkansas State,Targeting,Personal / Contact,1,7,7.0,Arkansas State,SBC,,
Arkansas State,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,Arkansas State,SBC,,
Army,Face Mask,Other,2,30,15.0,Army,American,,
Army,False Start,Procedural,11,40,3.64,Army,American,,
Army,Holding,Blocking / Holding,12,102,8.5,Army,American,,
Army,Illegal Formation,Procedural,2,23,11.5,Army,American,,
Army,Offside,Procedural,6,16,2.67,Army,American,,
Army,Other / Unclassified,Administrative,3,38,12.67,Army,American,,
Army,Other / Unclassified,Blocking / Holding,2,62,31.0,Army,American,,
Army,Other / Unclassified,Other,3,70,23.33,Army,American,,
Army,Other / Unclassified,Procedural,1,9,9.0,Army,American,,
Army,Pass Interference,Personal / Contact,6,83,13.83,Army,American,,
Army,Personal Foul,Personal / Contact,2,20,10.0,Army,American,,
Auburn,Delay of Game,Procedural,4,15,3.75,Auburn,SEC,,
Auburn,Face Mask,Other,1,10,10.0,Auburn,SEC,,
Auburn,False Start,Procedural,22,55,2.5,Auburn,SEC,,
Auburn,Holding,Blocking / Holding,23,180,7.83,Auburn,SEC,,
Auburn,Illegal Formation,Procedural,2,39,19.5,Auburn,SEC,,
Auburn,Offside,Procedural,2,5,2.5,Auburn,SEC,,
Auburn,Other / Unclassified,Administrative,1,5,5.0,Auburn,SEC,,
Auburn,Other / Unclassified,Blocking / Holding,2,0,0.0,Auburn,SEC,,
Auburn,Other / Unclassified,Other,2,2,1.0,Auburn,SEC,,
Auburn,Other / Unclassified,Procedural,1,0,0.0,Auburn,SEC,,
Auburn,Other / Unclassified,Safety / Tackling,1,1,1.0,Auburn,SEC,,
Auburn,Pass Interference,Personal / Contact,8,46,5.75,Auburn,SEC,,
Auburn,Personal Foul,Personal / Contact,4,1,0.25,Auburn,SEC,,
Auburn,Roughing the Passer,Personal / Contact,2,15,7.5,Auburn,SEC,,
BYU,Delay of Game,Procedural,3,15,5.0,BYU,Big 12,BYU,11.0
BYU,Face Mask,Other,2,10,5.0,BYU,Big 12,BYU,11.0
BYU,False Start,Procedural,14,62,4.43,BYU,Big 12,BYU,11.0
BYU,Holding,Blocking / Holding,21,263,12.52,BYU,Big 12,BYU,11.0
BYU,Illegal Formation,Procedural,1,42,42.0,BYU,Big 12,BYU,11.0
BYU,Offside,Procedural,2,5,2.5,BYU,Big 12,BYU,11.0
BYU,Other / Unclassified,Administrative,1,0,0.0,BYU,Big 12,BYU,11.0
BYU,Other / Unclassified,Blocking / Holding,3,6,2.0,BYU,Big 12,BYU,11.0
BYU,Other / Unclassified,Other,1,5,5.0,BYU,Big 12,BYU,11.0
BYU,Pass Interference,Personal / Contact,13,146,11.23,BYU,Big 12,BYU,11.0
BYU,Personal Foul,Personal / Contact,5,7,1.4,BYU,Big 12,BYU,11.0
BYU,Targeting,Personal / Contact,1,0,0.0,BYU,Big 12,BYU,11.0
BYU,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,BYU,Big 12,BYU,11.0
Ball State,Delay of Game,Procedural,5,25,5.0,Ball State,MAC,,
Ball State,Face Mask,Other,2,11,5.5,Ball State,MAC,,
Ball State,False Start,Procedural,11,53,4.82,Ball State,MAC,,
Ball State,Holding,Blocking / Holding,7,39,5.57,Ball State,MAC,,
Ball State,Illegal Formation,Procedural,2,24,12.0,Ball State,MAC,,
Ball State,Offside,Procedural,7,35,5.0,Ball State,MAC,,
Ball State,Other / Unclassified,Administrative,2,5,2.5,Ball State,MAC,,
Ball State,Other / Unclassified,Other,4,34,8.5,Ball State,MAC,,
Ball State,Pass Interference,Personal / Contact,4,50,12.5,Ball State,MAC,,
Ball State,Personal Foul,Personal / Contact,2,20,10.0,Ball State,MAC,,
Ball State,Targeting,Personal / Contact,1,7,7.0,Ball State,MAC,,
Ball State,Unsportsmanlike Conduct,Personal / Contact,5,39,7.8,Ball State,MAC,,
Baylor,Delay of Game,Procedural,1,5,5.0,Baylor,Big 12,,
Baylor,Face Mask,Other,2,29,14.5,Baylor,Big 12,,
Baylor,False Start,Procedural,5,25,5.0,Baylor,Big 12,,
Baylor,Holding,Blocking / Holding,29,131,4.52,Baylor,Big 12,,
Baylor,Illegal Formation,Procedural,1,2,2.0,Baylor,Big 12,,
Baylor,Other / Unclassified,Administrative,1,0,0.0,Baylor,Big 12,,
Baylor,Other / Unclassified,Other,5,14,2.8,Baylor,Big 12,,
Baylor,Other / Unclassified,Procedural,1,13,13.0,Baylor,Big 12,,
Baylor,Pass Interference,Personal / Contact,22,196,8.91,Baylor,Big 12,,
Baylor,Pass Interference,Procedural,1,9,9.0,Baylor,Big 12,,
Baylor,Personal Foul,Personal / Contact,4,30,7.5,Baylor,Big 12,,
Baylor,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,Baylor,Big 12,,
Boise State,Delay of Game,Procedural,3,11,3.67,Boise State,MWC,,
Boise State,Face Mask,Other,1,12,12.0,Boise State,MWC,,
Boise State,False Start,Procedural,24,115,4.79,Boise State,MWC,,
Boise State,Holding,Blocking / Holding,15,125,8.33,Boise State,MWC,,
Boise State,Illegal Formation,Procedural,1,5,5.0,Boise State,MWC,,
Boise State,Offside,Procedural,4,43,10.75,Boise State,MWC,,
Boise State,Other / Unclassified,Administrative,3,50,16.67,Boise State,MWC,,
Boise State,Other / Unclassified,Other,4,33,8.25,Boise State,MWC,,
Boise State,Pass Interference,Personal / Contact,5,39,7.8,Boise State,MWC,,
Boise State,Personal Foul,Personal / Contact,2,15,7.5,Boise State,MWC,,
Boise State,Roughing the Passer,Personal / Contact,1,15,15.0,Boise State,MWC,,
Boise State,Unsportsmanlike Conduct,Personal / Contact,1,15,15.0,Boise State,MWC,,
Boston College,Face Mask,Other,1,15,15.0,Boston College,ACC,,
Boston College,Face Mask,Safety / Tackling,1,50,50.0,Boston College,ACC,,
Boston College,False Start,Procedural,16,55,3.44,Boston College,ACC,,
