week,committer,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty
1,Air Force,Holding,Blocking / Holding,1,0.0,0.0
1,Air Force,Illegal Formation,Procedural,1,6.0,6.0
1,Air Force,Offside,Procedural,1,5.0,5.0
1,Air Force,Personal Foul,Personal / Contact,1,0.0,0.0
1,Akron,Delay of Game,Procedural,2,5.0,2.5
1,Akron,Holding,Blocking / Holding,1,0.0,0.0
1,Akron,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Akron,Other / Unclassified,Other,2,5.0,2.5
1,Akron,Roughing,Personal / Contact,1,0.0,0.0
1,Alabama,Delay of Game,Procedural,1,5.0,5.0
1,Alabama,False Start,Procedural,2,10.0,5.0
1,Alabama,Holding,Blocking / Holding,2,20.0,10.0
1,Alabama,Offside,Procedural,1,0.0,0.0
1,Alabama,Pass Interference,Personal / Contact,1,15.0,15.0
1,Alabama,Personal Foul,Personal / Contact,2,30.0,15.0
1,App State,Delay of Game,Procedural,1,0.0,0.0
1,App State,Holding,Blocking / Holding,3,0.0,0.0
1,App State,Pass Interference,Personal / Contact,1,0.0,0.0
1,Arizona,Face Mask,Other,2,30.0,15.0
1,Arizona,False Start,Procedural,1,5.0,5.0
1,Arizona,Holding,Blocking / Holding,4,16.0,4.0
1,Arizona,Offside,Procedural,2,6.0,3.0
1,Arizona,Other / Unclassified,Other,1,0.0,0.0
1,Arizona,Other / Unclassified,Procedural,1,5.0,5.0
1,Arizona State,Delay of Game,Procedural,3,15.0,5.0
1,Arizona State,False Start,Procedural,2,10.0,5.0
1,Arizona State,Holding,Blocking / Holding,4,22.0,5.5
1,Arizona State,Other / Unclassified,Administrative,1,64.0,64.0
1,Arizona State,Pass Interference,Personal / Contact,1,15.0,15.0
1,Arkansas,False Start,Procedural,2,10.0,5.0
1,Arkansas,Holding,Blocking / Holding,2,33.0,16.5
1,Arkansas,Pass Interference,Personal / Contact,1,7.0,7.0
1,Arkansas State,False Start,Procedural,3,0.0,0.0
1,Arkansas State,Holding,Blocking / Holding,4,0.0,0.0
1,Arkansas State,Other / Unclassified,Other,1,0.0,0.0
1,Arkansas State,Pass Interference,Personal / Contact,4,0.0,0.0
1,Arkansas State,Personal Foul,Personal / Contact,2,0.0,0.0
1,Army,False Start,Procedural,4,20.0,5.0
1,Army,Holding,Blocking / Holding,5,67.0,13.4
1,Army,Offside,Procedural,1,4.0,4.0
1,Army,Other / Unclassified,Administrative,2,13.0,6.5
1,Army,Pass Interference,Personal / Contact,2,23.0,11.5
1,Auburn,False Start,Procedural,2,10.0,5.0
1,Auburn,Holding,Blocking / Holding,2,0.0,0.0
1,Auburn,Illegal Formation,Procedural,1,39.0,39.0
1,BYU,Delay of Game,Procedural,1,5.0,5.0
1,BYU,Holding,Blocking / Holding,1,4.0,4.0
1,BYU,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,BYU,Personal Foul,Personal / Contact,1,4.0,4.0
1,Ball State,False Start,Procedural,1,3.0,3.0
1,Ball State,Holding,Blocking / Holding,1,0.0,0.0
1,Ball State,Other / Unclassified,Other,1,5.0,5.0
1,Baylor,False Start,Procedural,1,5.0,5.0
1,Baylor,Holding,Blocking / Holding,7,61.0,8.71
1,Baylor,Pass Interference,Personal / Contact,2,23.0,11.5
1,Boise State,Delay of Game,Procedural,2,6.0,3.0
1,Boise State,False Start,Procedural,3,15.0,5.0
1,Boise State,Pass Interference,Personal / Contact,1,10.0,10.0
1,Boise State,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Bowling Green,Delay of Game,Procedural,1,5.0,5.0
1,Buffalo,Delay of Game,Procedural,1,5.0,5.0
1,Buffalo,Offside,Procedural,1,5.0,5.0
1,Buffalo,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Buffalo,Personal Foul,Personal / Contact,1,15.0,15.0
1,California,Delay of Game,Procedural,1,5.0,5.0
1,California,False Start,Procedural,1,50.0,50.0
1,California,Holding,Blocking / Holding,2,10.0,5.0
1,California,Holding,Procedural,1,0.0,0.0
1,California,Other / Unclassified,Administrative,1,5.0,5.0
1,California,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,California,Pass Interference,Personal / Contact,2,0.0,0.0
1,California,Roughing,Personal / Contact,1,0.0,0.0
1,Central Michigan,False Start,Procedural,2,10.0,5.0
1,Central Michigan,Other / Unclassified,Administrative,1,8.0,8.0
1,Central Michigan,Other / Unclassified,Procedural,2,8.0,4.0
1,Central Michigan,Pass Interference,Personal / Contact,1,3.0,3.0
1,Charlotte,False Start,Procedural,3,0.0,0.0
1,Charlotte,Holding,Blocking / Holding,3,0.0,0.0
1,Charlotte,Pass Interference,Personal / Contact,1,0.0,0.0
1,Charlotte,Personal Foul,Personal / Contact,3,0.0,0.0
1,Charlotte,Roughing,Personal / Contact,1,0.0,0.0
1,Cincinnati,False Start,Procedural,4,20.0,5.0
1,Cincinnati,Holding,Blocking / Holding,1,10.0,10.0
1,Clemson,False Start,Procedural,2,5.0,2.5
1,Clemson,Holding,Blocking / Holding,2,20.0,10.0
1,Coastal Carolina,False Start,Procedural,2,10.0,5.0
1,Coastal Carolina,Holding,Blocking / Holding,3,28.0,9.33
1,Coastal Carolina,Other / Unclassified,Administrative,1,47.0,47.0
1,Colorado,Delay of Game,Procedural,1,5.0,5.0
1,Colorado,Face Mask,Other,1,15.0,15.0
1,Colorado,False Start,Procedural,1,5.0,5.0
1,Colorado,Holding,Blocking / Holding,1,0.0,0.0
1,Colorado,Personal Foul,Personal / Contact,1,0.0,0.0
1,Colorado State,False Start,Procedural,2,10.0,5.0
1,Colorado State,Illegal Formation,Procedural,1,7.0,7.0
1,Delaware,False Start,Procedural,1,5.0,5.0
1,Delaware,Holding,Blocking / Holding,2,37.0,18.5
1,Delaware,Illegal Formation,Procedural,1,7.0,7.0
1,Delaware,Offside,Procedural,1,5.0,5.0
1,Delaware,Other / Unclassified,Administrative,1,7.0,7.0
1,Delaware,Pass Interference,Personal / Contact,1,0.0,0.0
1,Delaware,Personal Foul,Personal / Contact,1,50.0,50.0
1,Duke,False Start,Procedural,2,10.0,5.0
1,Duke,Offside,Procedural,1,4.0,4.0
1,East Carolina,False Start,Procedural,3,15.0,5.0
1,East Carolina,Holding,Blocking / Holding,4,21.0,5.25
1,East Carolina,Holding,Procedural,1,59.0,59.0
1,East Carolina,Other / Unclassified,Administrative,2,5.0,2.5
1,East Carolina,Pass Interference,Personal / Contact,1,11.0,11.0
