team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school_for_merge_x,conference,school_for_merge_y,AP Top 25
Air Force,Delay of Game,Procedural,3,15,5.0,Air Force,MWC,,
Air Force,Face Mask,Other,3,4,1.33,Air Force,MWC,,
Air Force,False Start,Procedural,11,41,3.73,Air Force,MWC,,
Air Force,Holding,Blocking / Holding,17,96,5.65,Air Force,MWC,,
Air Force,Illegal Formation,Procedural,3,52,17.33,Air Force,MWC,,
Air Force,Offside,Procedural,2,0,0.0,Air Force,MWC,,
Air Force,Other / Unclassified,Administrative,3,15,5.0,Air Force,MWC,,
Air Force,Other / Unclassified,Blocking / Holding,1,0,0.0,Air Force,MWC,,
Air Force,Other / Unclassified,Other,8,72,9.0,Air Force,MWC,,
Air Force,Pass Interference,Personal / Contact,8,145,18.12,Air Force,MWC,,
Air Force,Personal Foul,Personal / Contact,4,24,6.0,Air Force,MWC,,
Air Force,Unsportsmanlike Conduct,Personal / Contact,2,16,8.0,Air Force,MWC,,
Akron,Delay of Game,Procedural,3,5,1.67,Akron,MAC,,
Akron,Face Mask,Other,1,9,9.0,Akron,MAC,,
Akron,False Start,Procedural,18,41,2.28,Akron,MAC,,
Akron,Holding,Blocking / Holding,9,109,12.11,Akron,MAC,,
Akron,Offside,Procedural,2,7,3.5,Akron,MAC,,
Akron,Other / Unclassified,Administrative,2,5,2.5,Akron,MAC,,
Akron,Other / Unclassified,Blocking / Holding,1,0,0.0,Akron,MAC,,
Akron,Other / Unclassified,Other,3,5,1.67,Akron,MAC,,
Akron,Pass Interference,Personal / Contact,6,45,7.5,Akron,MAC,,
Akron,Personal Foul,Personal / Contact,4,55,13.75,Akron,MAC,,
Akron,Roughing the Passer,Personal / Contact,1,18,18.0,Akron,MAC,,
Akron,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,Akron,MAC,,
Alabama,Delay of Game,Procedural,1,5,5.0,Alabama,SEC,Alabama,10.0
Alabama,Face Mask,Other,1,0,0.0,Alabama,SEC,Alabama,10.0
Alabama,False Start,Procedural,12,43,3.58,Alabama,SEC,Alabama,10.0
Alabama,Holding,Blocking / Holding,14,110,7.86,Alabama,SEC,Alabama,10.0
Alabama,Illegal Formation,Procedural,1,4,4.0,Alabama,SEC,Alabama,10.0
Alabama,Offside,Procedural,2,10,5.0,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Administrative,2,25,12.5,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Blocking / Holding,4,58,14.5,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Other,4,9,2.25,Alabama,SEC,Alabama,10.0
Alabama,Other / Unclassified,Procedural,1,0,0.0,Alabama,SEC,Alabama,10.0
Alabama,Pass Interference,Personal / Contact,5,46,9.2,Alabama,SEC,Alabama,10.0
Alabama,Personal Foul,Personal / Contact,2,18,9.0,Alabama,SEC,Alabama,10.0
App State,Delay of Game,Procedural,5,20,4.0,App State,SBC,,
App State,Face Mask,Other,1,15,15.0,App State,SBC,,
App State,False Start,Procedural,18,75,4.17,App State,SBC,,
App State,Holding,Blocking / Holding,15,188,12.53,App State,SBC,,
App State,Offside,Procedural,5,14,2.8,App State,SBC,,
App State,Other / Unclassified,Blocking / Holding,2,111,55.5,App State,SBC,,
App State,Other / Unclassified,Other,13,96,7.38,App State,SBC,,
App State,Other / Unclassified,Safety / Tackling,1,6,6.0,App State,SBC,,
App State,Pass Interference,Personal / Contact,3,19,6.33,App State,SBC,,
App State,Pass Interference,Procedural,1,0,0.0,App State,SBC,,
App State,Personal Foul,Personal / Contact,7,142,20.29,App State,SBC,,
App State,Roughing,Personal / Contact,1,0,0.0,App State,SBC,,
App State,Roughing the Kicker,Personal / Contact,1,37,37.0,App State,SBC,,
App State,Roughing the Passer,Personal / Contact,1,60,60.0,App State,SBC,,
App State,Targeting,Personal / Contact,1,15,15.0,App State,SBC,,
App State,Unsportsmanlike Conduct,Personal / Contact,1,9,9.0,App State,SBC,,
Arizona,Delay of Game,Procedural,5,25,5.0,Arizona,Big 12,,
Arizona,Face Mask,Other,2,5,2.5,Arizona,Big 12,,
Arizona,False Start,Procedural,6,25,4.17,Arizona,Big 12,,
Arizona,Holding,Blocking / Holding,9,108,12.0,Arizona,Big 12,,
Arizona,Illegal Formation,Procedural,1,2,2.0,Arizona,Big 12,,
Arizona,Offside,Procedural,3,17,5.67,Arizona,Big 12,,
Arizona,Other / Unclassified,Administrative,1,75,75.0,Arizona,Big 12,,
Arizona,Other / Unclassified,Other,5,44,8.8,Arizona,Big 12,,
Arizona,Other / Unclassified,Procedural,1,0,0.0,Arizona,Big 12,,
Arizona,Pass Interference,Personal / Contact,7,28,4.0,Arizona,Big 12,,
Arizona,Personal Foul,Personal / Contact,1,15,15.0,Arizona,Big 12,,
