week,drawn_team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty
1,Air Force,False Start,Procedural,2,5.0,2.5
1,Air Force,Holding,Blocking / Holding,1,0.0,0.0
1,Air Force,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Air Force,Pass Interference,Personal / Contact,2,20.0,10.0
1,Air Force,Personal Foul,Personal / Contact,1,0.0,0.0
1,Akron,Delay of Game,Procedural,1,0.0,0.0
1,Akron,Face Mask,Other,1,9.0,9.0
1,Akron,False Start,Procedural,4,0.0,0.0
1,Akron,Other / Unclassified,Other,1,5.0,5.0
1,Alabama,False Start,Procedural,1,5.0,5.0
1,Alabama,Holding,Blocking / Holding,2,20.0,10.0
1,App State,False Start,Procedural,3,0.0,0.0
1,App State,Holding,Blocking / Holding,3,0.0,0.0
1,App State,Pass Interference,Personal / Contact,1,0.0,0.0
1,App State,Personal Foul,Personal / Contact,3,0.0,0.0
1,App State,Roughing,Personal / Contact,1,0.0,0.0
1,Arizona,Delay of Game,Procedural,1,5.0,5.0
1,Arizona,False Start,Procedural,1,5.0,5.0
1,Arizona,Holding,Blocking / Holding,1,10.0,10.0
1,Arizona,Other / Unclassified,Procedural,1,0.0,0.0
1,Arizona,Pass Interference,Personal / Contact,2,13.0,6.5
1,Arizona State,Delay of Game,Procedural,1,5.0,5.0
1,Arizona State,False Start,Procedural,1,5.0,5.0
1,Arizona State,Holding,Blocking / Holding,1,10.0,10.0
1,Arizona State,Other / Unclassified,Administrative,1,13.0,13.0
1,Arizona State,Other / Unclassified,Procedural,1,1.0,1.0
1,Arizona State,Personal Foul,Personal / Contact,1,8.0,8.0
1,Arizona State,Roughing the Passer,Personal / Contact,1,0.0,0.0
1,Arkansas,False Start,Procedural,5,25.0,5.0
1,Arkansas,Offside,Procedural,2,40.0,20.0
1,Arkansas State,False Start,Procedural,1,0.0,0.0
1,Arkansas State,Holding,Blocking / Holding,1,0.0,0.0
1,Army,Holding,Blocking / Holding,1,0.0,0.0
1,Army,Other / Unclassified,Other,1,0.0,0.0
1,Auburn,False Start,Procedural,1,5.0,5.0
1,Auburn,Holding,Blocking / Holding,7,61.0,8.71
1,Auburn,Pass Interference,Personal / Contact,2,23.0,11.5
1,BYU,Delay of Game,Procedural,2,10.0,5.0
1,BYU,False Start,Procedural,2,10.0,5.0
1,BYU,Targeting,Personal / Contact,1,15.0,15.0
1,Ball State,False Start,Procedural,1,5.0,5.0
1,Ball State,Holding,Blocking / Holding,1,10.0,10.0
1,Ball State,Other / Unclassified,Administrative,1,0.0,0.0
1,Ball State,Personal Foul,Personal / Contact,1,1.0,1.0
1,Baylor,False Start,Procedural,2,10.0,5.0
1,Baylor,Holding,Blocking / Holding,2,0.0,0.0
1,Baylor,Illegal Formation,Procedural,1,39.0,39.0
1,Boise State,False Start,Procedural,2,10.0,5.0
1,Boise State,Holding,Blocking / Holding,2,52.0,26.0
1,Boise State,Offside,Procedural,1,5.0,5.0
1,Boise State,Other / Unclassified,Other,1,15.0,15.0
1,Boise State,Pass Interference,Personal / Contact,1,6.0,6.0
1,Boise State,Roughing,Personal / Contact,1,11.0,11.0
1,Boston College,Delay of Game,Procedural,1,0.0,0.0
1,Boston College,Holding,Blocking / Holding,2,0.0,0.0
1,Boston College,Other / Unclassified,Administrative,1,0.0,0.0
1,Boston College,Roughing,Personal / Contact,1,0.0,0.0
1,Bowling Green,Offside,Procedural,1,5.0,5.0
1,Bowling Green,Other / Unclassified,Administrative,1,0.0,0.0
1,Bowling Green,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Bowling Green,Other / Unclassified,Other,2,22.0,11.0
1,Bowling Green,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Buffalo,Delay of Game,Procedural,1,5.0,5.0
1,Buffalo,Pass Interference,Personal / Contact,1,15.0,15.0
1,California,Offside,Procedural,1,0.0,0.0
1,Central Michigan,Holding,Blocking / Holding,1,5.0,5.0
1,Central Michigan,Illegal Formation,Procedural,1,48.0,48.0
1,Central Michigan,Other / Unclassified,Administrative,1,5.0,5.0
1,Central Michigan,Other / Unclassified,Other,2,24.0,12.0
1,Charlotte,Delay of Game,Procedural,1,0.0,0.0
1,Charlotte,Holding,Blocking / Holding,3,0.0,0.0
1,Charlotte,Pass Interference,Personal / Contact,1,0.0,0.0
1,Cincinnati,Delay of Game,Procedural,1,0.0,0.0
1,Cincinnati,False Start,Procedural,1,4.0,4.0
1,Cincinnati,Personal Foul,Personal / Contact,1,13.0,13.0
1,Clemson,False Start,Procedural,2,5.0,2.5
1,Clemson,Holding,Blocking / Holding,1,2.0,2.0
1,Clemson,Illegal Formation,Procedural,1,16.0,16.0
1,Clemson,Pass Interference,Personal / Contact,3,32.0,10.67
1,Clemson,Roughing,Personal / Contact,1,0.0,0.0
1,Coastal Carolina,False Start,Procedural,3,15.0,5.0
1,Coastal Carolina,Illegal Formation,Procedural,1,42.0,42.0
1,Coastal Carolina,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Coastal Carolina,Other / Unclassified,Other,1,5.0,5.0
1,Coastal Carolina,Personal Foul,Personal / Contact,1,15.0,15.0
1,Coastal Carolina,Roughing the Passer,Personal / Contact,1,50.0,50.0
1,Colorado,False Start,Procedural,3,15.0,5.0
1,Colorado,Holding,Blocking / Holding,3,14.0,4.67
1,Colorado,Other / Unclassified,Other,1,5.0,5.0
1,Colorado,Pass Interference,Personal / Contact,1,15.0,15.0
1,Colorado State,Face Mask,Other,1,2.0,2.0
1,Colorado State,False Start,Procedural,3,10.0,3.33
1,Colorado State,Offside,Procedural,1,0.0,0.0
1,Colorado State,Other / Unclassified,Administrative,1,0.0,0.0
1,Colorado State,Pass Interference,Personal / Contact,2,12.0,6.0
1,Delaware,Delay of Game,Procedural,3,15.0,5.0
1,Delaware,False Start,Procedural,2,10.0,5.0
1,Delaware,Holding,Blocking / Holding,2,10.0,5.0
1,Delaware,Illegal Formation,Procedural,2,0.0,0.0
1,Delaware,Other / Unclassified,Administrative,1,10.0,10.0
1,Delaware,Unsportsmanlike Conduct,Personal / Contact,4,17.0,4.25
1,Duke,Delay of Game,Procedural,2,10.0,5.0
1,Duke,False Start,Procedural,2,7.0,3.5
1,Duke,Holding,Blocking / Holding,2,8.0,4.0
1,Duke,Offside,Procedural,1,5.0,5.0
1,Duke,Personal Foul,Personal / Contact,1,1.0,1.0
1,East Carolina,False Start,Procedural,3,13.0,4.33
1,East Carolina,Holding,Blocking / Holding,2,6.0,3.0
1,East Carolina,Personal Foul,Personal / Contact,1,15.0,15.0
1,Eastern Michigan,Offside,Procedural,2,10.0,5.0
1,Florida,Delay of Game,Procedural,2,10.0,5.0
1,Florida,False Start,Procedural,2,10.0,5.0
1,Florida,Offside,Procedural,1,65.0,65.0
1,Florida Atlantic,Delay of Game,Procedural,2,10.0,5.0
1,Florida Atlantic,Face Mask,Other,1,15.0,15.0
1,Florida Atlantic,False Start,Procedural,4,20.0,5.0
1,Florida Atlantic,Holding,Blocking / Holding,1,7.0,7.0
1,Florida Atlantic,Illegal Formation,Procedural,1,0.0,0.0
1,Florida Atlantic,Offside,Procedural,2,6.0,3.0
1,Florida Atlantic,Other / Unclassified,Procedural,1,5.0,5.0
1,Florida Atlantic,Pass Interference,Personal / Contact,2,22.0,11.0
1,Florida Atlantic,Roughing the Passer,Personal / Contact,1,0.0,0.0
1,Florida Atlantic,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Florida International,Delay of Game,Procedural,1,5.0,5.0
1,Florida International,False Start,Procedural,1,5.0,5.0
1,Florida International,Holding,Blocking / Holding,1,23.0,23.0
1,Florida International,Offside,Procedural,1,5.0,5.0
1,Florida International,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Florida State,Delay of Game,Procedural,1,5.0,5.0
1,Florida State,False Start,Procedural,2,10.0,5.0
1,Florida State,Holding,Blocking / Holding,2,20.0,10.0
1,Florida State,Offside,Procedural,1,0.0,0.0
1,Florida State,Pass Interference,Personal / Contact,1,15.0,15.0
1,Florida State,Personal Foul,Personal / Contact,2,30.0,15.0
1,Fresno State,Face Mask,Other,1,15.0,15.0
1,Fresno State,False Start,Procedural,1,5.0,5.0
1,Fresno State,Holding,Blocking / Holding,6,37.0,6.17
1,Fresno State,Other / Unclassified,Other,1,0.0,0.0
1,Fresno State,Pass Interference,Personal / Contact,2,0.0,0.0
1,Fresno State,Personal Foul,Personal / Contact,1,8.0,8.0
1,Fresno State,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Georgia,Delay of Game,Procedural,1,5.0,5.0
1,Georgia,Holding,Blocking / Holding,1,10.0,10.0
1,Georgia,Illegal Formation,Procedural,3,15.0,5.0
1,Georgia Southern,Personal Foul,Personal / Contact,1,15.0,15.0
1,Georgia State,Delay of Game,Procedural,1,5.0,5.0
1,Georgia State,False Start,Procedural,2,8.0,4.0
1,Georgia State,Holding,Blocking / Holding,2,20.0,10.0
1,Georgia State,Illegal Formation,Procedural,1,55.0,55.0
1,Georgia State,Offside,Procedural,1,2.0,2.0
1,Georgia Tech,Delay of Game,Procedural,1,5.0,5.0
1,Georgia Tech,Face Mask,Other,1,15.0,15.0
1,Georgia Tech,False Start,Procedural,1,5.0,5.0
1,Georgia Tech,Holding,Blocking / Holding,1,0.0,0.0
1,Georgia Tech,Personal Foul,Personal / Contact,1,0.0,0.0
1,Hawai'i,Delay of Game,Procedural,1,0.0,0.0
1,Hawai'i,Face Mask,Other,3,45.0,15.0
1,Hawai'i,False Start,Procedural,1,5.0,5.0
1,Hawai'i,Holding,Blocking / Holding,5,16.0,3.2
1,Hawai'i,Offside,Procedural,2,6.0,3.0
1,Hawai'i,Other / Unclassified,Other,2,13.0,6.5
1,Hawai'i,Other / Unclassified,Procedural,1,5.0,5.0
1,Hawai'i,Pass Interference,Personal / Contact,1,0.0,0.0
1,Hawai'i,Personal Foul,Personal / Contact,1,0.0,0.0
1,Hawai'i,Roughing,Personal / Contact,1,0.0,0.0
1,Houston,Delay of Game,Procedural,1,0.0,0.0
1,Houston,Holding,Blocking / Holding,2,1.0,0.5
1,Houston,Illegal Formation,Procedural,1,0.0,0.0
1,Houston,Other / Unclassified,Other,1,0.0,0.0
1,Houston,Pass Interference,Personal / Contact,1,0.0,0.0
1,Houston,Personal Foul,Personal / Contact,2,0.0,0.0
1,Illinois,Delay of Game,Procedural,1,5.0,5.0
1,Illinois,False Start,Procedural,2,9.0,4.5
1,Illinois,Illegal Formation,Procedural,2,95.0,47.5
1,Illinois,Other / Unclassified,Other,1,3.0,3.0
1,Illinois,Pass Interference,Personal / Contact,2,0.0,0.0
1,Indiana,False Start,Procedural,2,10.0,5.0
1,Indiana,Illegal Formation,Procedural,1,5.0,5.0
1,Indiana,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Indiana,Other / Unclassified,Other,1,22.0,22.0
1,Iowa,False Start,Procedural,1,5.0,5.0
1,Iowa,Illegal Formation,Procedural,2,7.0,3.5
1,Iowa,Pass Interference,Personal / Contact,1,15.0,15.0
1,Iowa State,Delay of Game,Procedural,1,0.0,0.0
1,Iowa State,Face Mask,Other,1,6.0,6.0
1,Iowa State,False Start,Procedural,2,5.0,2.5
1,Iowa State,Holding,Blocking / Holding,5,83.0,16.6
1,Iowa State,Other / Unclassified,Other,2,21.0,10.5
1,Jacksonville State,False Start,Procedural,3,10.0,3.33
1,Jacksonville State,Holding,Blocking / Holding,2,29.0,14.5
1,Jacksonville State,Offside,Procedural,1,5.0,5.0
1,Jacksonville State,Other / Unclassified,Blocking / Holding,1,1.0,1.0
1,Jacksonville State,Targeting,Personal / Contact,2,14.0,7.0
1,Jacksonville State,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,James Madison,False Start,Procedural,1,5.0,5.0
1,James Madison,Illegal Formation,Procedural,1,0.0,0.0
1,James Madison,Pass Interference,Personal / Contact,2,23.0,11.5
1,James Madison,Personal Foul,Personal / Contact,1,8.0,8.0
1,James Madison,Roughing the Passer,Personal / Contact,1,15.0,15.0
1,Kansas,Delay of Game,Procedural,4,20.0,5.0
1,Kansas,False Start,Procedural,1,0.0,0.0
1,Kansas,Holding,Blocking / Holding,8,58.0,7.25
1,Kansas,Offside,Procedural,1,5.0,5.0
1,Kansas,Other / Unclassified,Other,3,15.0,5.0
1,Kansas,Pass Interference,Personal / Contact,1,15.0,15.0
1,Kansas State,False Start,Procedural,3,15.0,5.0
1,Kansas State,Pass Interference,Personal / Contact,1,13.0,13.0
1,Kennesaw State,Delay of Game,Procedural,1,5.0,5.0
1,Kennesaw State,False Start,Procedural,2,10.0,5.0
