year,week,offense,defense,penalty_type,penalty_yards,play_text
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Chase Hendricks) to the RUTG 48"
2025,1,Rutgers,Ohio,False Start,5.0,"Ohio Penalty, false start (5 Yards) to the OHIO 8"
2025,1,Ohio,Rutgers,Face Mask,15.0,"David Dellenbach kickoff Ohio Penalty, face mask (15 yards) (-15 Yards) to the 50 yard line"
2025,1,Rutgers,Ohio,False Start,5.0,"Ohio Penalty, false start (5 Yards) to the RUTG 42"
2025,1,Rutgers,Ohio,Delay of Game,5.0,"Ohio Penalty, delay of game (5 Yards) to the RUTG 46"
2025,1,Ohio,Rutgers,Delay of Game,5.0,"Ohio Penalty, delay of game (-5 Yards) to the RUTG 48 for a 1ST down"
2025,1,Rutgers,Ohio,Holding,,"Athan Kaliakmanis pass incomplete for a 1ST down Ohio Penalty, Defensive holding (Jalen Thomeson) to the RUTG 47 for a 1ST down"
2025,1,Ohio,Rutgers,False Start,5.0,"PENALTY OHIO False Start (Marsh,Joseph) 5 yards from OHIO28 to OHIO23. NO PLAY."
2025,1,Ohio,Rutgers,Face Mask,15.0,"PENALTY RUT Face Mask (Elad,Jett) 15 yards from OHIO35 to OHIO50. NO PLAY."
2025,1,Rutgers,Ohio,Other / Unclassified,,"Jack Scullion kickoff for 55 yds , Eamonn Dennis return for 13 yds to the OHIO 48 Ohio Penalty, illegal block (Delaney Crawford) to the OHIO 13"
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Joseph Marsh) to the OHIO 23"
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Sieh Bangura) to the OHIO 3"
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Jordon Jones) to the RUTG 13"
2025,1,Bowling Green,Lafayette,Offside,5.0,"(06:00) No Huddle-Shotgun Pyne,Drew pass incomplete short to Hogan,Finn thrown to LC45 PENALTY LC Offside (Selvitelli,Dominic) 5 yards from LC49 to LC44. NO PLAY."
2025,1,Bowling Green,Lafayette,Unsportsmanlike Conduct,,"Lafayette Penalty, UNS: Unsportsmanlike Conduct (Michael Vaughn) to the LAF 37 for a 1ST down"
2025,1,Bowling Green,Lafayette,Delay of Game,5.0,"PENALTY BGSU Delay Of Game (Pyne,Drew) 5 yards from LC46 to BGSU49. NO PLAY."
2025,1,Boise State,USF,False Start,5.0,"Boise State Penalty, False Start (-5 Yards) to the USF 6"
2025,1,Boise State,USF,Pass Interference,10.0,"Madsen, Maddux pass incomplete to Marshall, Chris, PENALTY SOUFLA pass interference 10 yards to the SOUFLA4, NO PLAY, 1ST DOWN BOIS."
2025,1,USF,Boise State,Holding,13.0,"Brown, Byrum pass complete to Nimrod, Chas for 13 yards to the BOIS16, PENALTY SOUFLA holding 10 yards to the BOIS39, NO PLAY."
2025,1,USF,Boise State,Holding,39.0,"Brown, Byrum rush for 39 yards to the BOIS0, PENALTY SOUFLA holding 10 yards to the BOIS49, NO PLAY."
2025,1,USF,Boise State,Other / Unclassified,15.0,"Byrum Brown sacked by Braxton Fely and Max Stege for a loss of 7 yards to the USF 15 for a 1ST down Boise State Penalty, Unnecessary Roughness (15 Yards) to the USF 30 for a 1ST down"
2025,1,USF,Boise State,False Start,5.0,"South Florida Penalty, False Start (-5 Yards) to the BOIS 23"
2025,1,Boise State,USF,Offside,5.0,"South Florida Penalty, Defensive Offside (5 Yards) to the BOIS 30"
2025,1,Boise State,USF,Roughing,11.0,"Maddux Madsen pass complete to Matt Lauter for 20 yds to the USF 22 for a 1ST down South Florida Penalty, Roughing Passer (11 Yards) to the USF 11 for a 1ST down"
2025,1,Boise State,USF,False Start,5.0,"Boise State Penalty, False Start (-5 Yards) to the USF 16"
2025,1,Boise State,USF,False Start,5.0,"Boise State Penalty, False Start (-5 Yards) to the USF 46"
2025,1,Boise State,USF,Delay of Game,5.0,"Boise State Penalty, Delay of Game (-5 Yards) to the USF 46"
