year,week,team,role,opponent,conference,penalty_type,penalty_yards,play_text,AP_rank,Coaches_rank,team_for_rank_merge,school_from_rank
2025,1,Ohio,committed,Rutgers,Mid-American,False Start,0,"Ohio Penalty, false start (Chase Hendricks) to the RUTG 48",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,False Start,0,"Ohio Penalty, false start (Chase Hendricks) to the RUTG 48",NR,NR,Rutgers,NR
2025,1,Rutgers,committed,Ohio,Big Ten,False Start,5,"Ohio Penalty, false start (5 Yards) to the OHIO 8",NR,NR,Rutgers,NR
2025,1,Ohio,drawn,Rutgers,Mid-American,False Start,5,"Ohio Penalty, false start (5 Yards) to the OHIO 8",NR,NR,Ohio,NR
2025,1,Ohio,committed,Rutgers,Mid-American,Face Mask,15,"David Dellenbach kickoff Ohio Penalty, face mask (15 yards) (-15 Yards) to the 50 yard line",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,Face Mask,15,"David Dellenbach kickoff Ohio Penalty, face mask (15 yards) (-15 Yards) to the 50 yard line",NR,NR,Rutgers,NR
2025,1,Rutgers,committed,Ohio,Big Ten,False Start,5,"Ohio Penalty, false start (5 Yards) to the RUTG 42",NR,NR,Rutgers,NR
2025,1,Ohio,drawn,Rutgers,Mid-American,False Start,5,"Ohio Penalty, false start (5 Yards) to the RUTG 42",NR,NR,Ohio,NR
2025,1,Rutgers,committed,Ohio,Big Ten,Delay of Game,5,"Ohio Penalty, delay of game (5 Yards) to the RUTG 46",NR,NR,Rutgers,NR
2025,1,Ohio,drawn,Rutgers,Mid-American,Delay of Game,5,"Ohio Penalty, delay of game (5 Yards) to the RUTG 46",NR,NR,Ohio,NR
2025,1,Ohio,committed,Rutgers,Mid-American,Delay of Game,5,"Ohio Penalty, delay of game (-5 Yards) to the RUTG 48 for a 1ST down",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,Delay of Game,5,"Ohio Penalty, delay of game (-5 Yards) to the RUTG 48 for a 1ST down",NR,NR,Rutgers,NR
2025,1,Rutgers,committed,Ohio,Big Ten,Holding,0,"Athan Kaliakmanis pass incomplete for a 1ST down Ohio Penalty, Defensive holding (Jalen Thomeson) to the RUTG 47 for a 1ST down",NR,NR,Rutgers,NR
2025,1,Ohio,drawn,Rutgers,Mid-American,Holding,0,"Athan Kaliakmanis pass incomplete for a 1ST down Ohio Penalty, Defensive holding (Jalen Thomeson) to the RUTG 47 for a 1ST down",NR,NR,Ohio,NR
2025,1,Ohio,committed,Rutgers,Mid-American,False Start,5,"PENALTY OHIO False Start (Marsh,Joseph) 5 yards from OHIO28 to OHIO23. NO PLAY.",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,False Start,5,"PENALTY OHIO False Start (Marsh,Joseph) 5 yards from OHIO28 to OHIO23. NO PLAY.",NR,NR,Rutgers,NR
2025,1,Ohio,committed,Rutgers,Mid-American,Face Mask,15,"PENALTY RUT Face Mask (Elad,Jett) 15 yards from OHIO35 to OHIO50. NO PLAY.",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,Face Mask,15,"PENALTY RUT Face Mask (Elad,Jett) 15 yards from OHIO35 to OHIO50. NO PLAY.",NR,NR,Rutgers,NR
2025,1,Rutgers,committed,Ohio,Big Ten,Other / Unclassified,0,"Jack Scullion kickoff for 55 yds , Eamonn Dennis return for 13 yds to the OHIO 48 Ohio Penalty, illegal block (Delaney Crawford) to the OHIO 13",NR,NR,Rutgers,NR
2025,1,Ohio,drawn,Rutgers,Mid-American,Other / Unclassified,0,"Jack Scullion kickoff for 55 yds , Eamonn Dennis return for 13 yds to the OHIO 48 Ohio Penalty, illegal block (Delaney Crawford) to the OHIO 13",NR,NR,Ohio,NR
2025,1,Ohio,committed,Rutgers,Mid-American,False Start,0,"Ohio Penalty, false start (Joseph Marsh) to the OHIO 23",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,False Start,0,"Ohio Penalty, false start (Joseph Marsh) to the OHIO 23",NR,NR,Rutgers,NR
2025,1,Ohio,committed,Rutgers,Mid-American,False Start,0,"Ohio Penalty, false start (Sieh Bangura) to the OHIO 3",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,False Start,0,"Ohio Penalty, false start (Sieh Bangura) to the OHIO 3",NR,NR,Rutgers,NR
2025,1,Ohio,committed,Rutgers,Mid-American,False Start,0,"Ohio Penalty, false start (Jordon Jones) to the RUTG 13",NR,NR,Ohio,NR
2025,1,Rutgers,drawn,Ohio,Big Ten,False Start,0,"Ohio Penalty, false start (Jordon Jones) to the RUTG 13",NR,NR,Rutgers,NR
2025,1,Bowling Green,committed,Lafayette,Mid-American,Offside,5,"(06:00) No Huddle-Shotgun Pyne,Drew pass incomplete short to Hogan,Finn thrown to LC45 PENALTY LC Offside (Selvitelli,Dominic) 5 yards from LC49 to LC44. NO PLAY.",NR,NR,Bowling Green,NR
2025,1,Kansas,drawn,Wagner,Big 12,Delay of Game,5,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG30 to WAG25. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,drawn,Wagner,Big 12,Delay of Game,5,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG25 to WAG20. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,drawn,Wagner,Big 12,Other / Unclassified,0,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 41 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (Yards) to the KU 41",NR,NR,Kansas,NR
2025,1,Kansas,drawn,Wagner,Big 12,Other / Unclassified,10,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 22 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (10 Yards) to the KU 22",NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,Other / Unclassified,10,"Kansas Penalty, (-10 Yards) to the WAG 43",NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,Holding,0,"Grayden Addison punt for 38 yds, punt out-of-bounds at the WAG 31 Wagner Penalty, Offensive Holding (Brendan Leal) to the WAG 31",NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,Holding,0,"Grayden Addison punt for 38 yds, punt out-of-bounds at the WAG 31 Wagner Penalty, Offensive Holding (Brendan Leal) to the WAG 21",NR,NR,Kansas,NR
2025,1,Kansas,drawn,Wagner,Big 12,Holding,8,"(08:41) No Huddle-Shotgun Stevens,Jack rush right for 8 yards gain to the WAG29 (Dye,Jalen), out of bounds PENALTY WAG Holding (Guitian,Prinz) 10 yards from WAG21 to WAG11. NO PLAY.",NR,NR,Kansas,NR
2025,1,Bowling Green,drawn,Lafayette,Mid-American,Other / Unclassified,15,"Bowling Green Penalty, (15 Yards) to the LAF 47 for a 1ST down",NR,NR,Bowling Green,NR
2025,1,Kansas,committed,Wagner,Big 12,Other / Unclassified,3,"(01:33) No Huddle-Shotgun Hishaw Jr.,Daniel rush middle for 3 yards gain to the KU50 (Johnson,Jordan) PENALTY WAG Illegal Substitution 5 yards from KU47 to WAG48. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,Pass Interference,15,"(01:23) No Huddle-Shotgun Daniels,Jalon pass incomplete deep right to Henderson Jr.,Emmanuel thrown to WAG10 PENALTY WAG Pass Interference (Brown,Jayden) 15 yards from WAG48 to WAG33, 1ST DOWN. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,drawn,Wagner,Big 12,Delay of Game,5,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG41 to WAG36. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,Offside,5,"PENALTY WAG Offside (Charles,Terry) 5 yards from WAG35 to WAG30. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,drawn,Wagner,Big 12,Delay of Game,5,PENALTY WAG Delay Of Game 5 yards from WAG26 to WAG21. NO PLAY.,NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,Illegal Formation,1,"(08:18) Shotgun Stewart III,Harry rush middle for 1 yard gain to the WAG29 (Leal,Brendan) PENALTY KU Illegal Formation 5 yards from WAG30 to WAG35. NO PLAY.",NR,NR,Kansas,NR
2025,1,Kansas,committed,Wagner,Big 12,False Start,5,"PENALTY KU False Start (Kelly,Hank) 5 yards from WAG11 to WAG16. NO PLAY.",NR,NR,Kansas,NR
2025,1,Bowling Green,committed,Lafayette,Mid-American,Unsportsmanlike Conduct,0,"Lafayette Penalty, UNS: Unsportsmanlike Conduct (Michael Vaughn) to the LAF 37 for a 1ST down",NR,NR,Bowling Green,NR
2025,1,Kansas,committed,Wagner,Big 12,Other / Unclassified,10,"Justin Thurman run for 18 yds to the KU 43 Kansas Penalty, (-10 Yards) to the KU 33",NR,NR,Kansas,NR
2025,1,Bowling Green,drawn,Lafayette,Mid-American,Other / Unclassified,7,"Bowling Green Penalty, (7 Yards) to the BGSU 7 for a 1ST down",NR,NR,Bowling Green,NR
2025,1,Bowling Green,drawn,Lafayette,Mid-American,Other / Unclassified,0,"Jason Penza run for 9 yds to the BGSU 30 Lafayette Penalty, Illegal Block (Ethan Hosak) to the BGSU 40",NR,NR,Bowling Green,NR
2025,1,Bowling Green,drawn,Lafayette,Mid-American,Other / Unclassified,0,"(13:05) No Huddle-Shotgun DeNobile,Dean pass complete deep left to Steward,Elijah caught at BGSU12, for 0 yards to the BGSU41 (McClendon,Jalen) PENALTY LC Ineligible Downfield on Pass (Adams,Spencer) 5 yards from BGSU41 to BGSU46. NO PLAY.",NR,NR,Bowling Green,NR
2025,1,Bowling Green,committed,Lafayette,Mid-American,Delay of Game,5,"PENALTY BGSU Delay Of Game (Pyne,Drew) 5 yards from LC46 to BGSU49. NO PLAY.",NR,NR,Bowling Green,NR
2025,1,Boise State,committed,USF,Mountain West,False Start,5,"Boise State Penalty, False Start (-5 Yards) to the USF 6",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,False Start,5,"Boise State Penalty, False Start (-5 Yards) to the USF 6",NR,NR,USF,NR
2025,1,Boise State,committed,USF,Mountain West,Pass Interference,10,"Madsen, Maddux pass incomplete to Marshall, Chris, PENALTY SOUFLA pass interference 10 yards to the SOUFLA4, NO PLAY, 1ST DOWN BOIS.",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,Pass Interference,10,"Madsen, Maddux pass incomplete to Marshall, Chris, PENALTY SOUFLA pass interference 10 yards to the SOUFLA4, NO PLAY, 1ST DOWN BOIS.",NR,NR,USF,NR
2025,1,USF,committed,Boise State,American Athletic,Holding,13,"Brown, Byrum pass complete to Nimrod, Chas for 13 yards to the BOIS16, PENALTY SOUFLA holding 10 yards to the BOIS39, NO PLAY.",NR,NR,USF,NR
2025,1,Boise State,drawn,USF,Mountain West,Holding,13,"Brown, Byrum pass complete to Nimrod, Chas for 13 yards to the BOIS16, PENALTY SOUFLA holding 10 yards to the BOIS39, NO PLAY.",NR,NR,Boise State,NR
2025,1,USF,committed,Boise State,American Athletic,Holding,39,"Brown, Byrum rush for 39 yards to the BOIS0, PENALTY SOUFLA holding 10 yards to the BOIS49, NO PLAY.",NR,NR,USF,NR
2025,1,Boise State,drawn,USF,Mountain West,Holding,39,"Brown, Byrum rush for 39 yards to the BOIS0, PENALTY SOUFLA holding 10 yards to the BOIS49, NO PLAY.",NR,NR,Boise State,NR
2025,1,USF,committed,Boise State,American Athletic,Other / Unclassified,15,"Byrum Brown sacked by Braxton Fely and Max Stege for a loss of 7 yards to the USF 15 for a 1ST down Boise State Penalty, Unnecessary Roughness (15 Yards) to the USF 30 for a 1ST down",NR,NR,USF,NR
2025,1,Boise State,drawn,USF,Mountain West,Other / Unclassified,15,"Byrum Brown sacked by Braxton Fely and Max Stege for a loss of 7 yards to the USF 15 for a 1ST down Boise State Penalty, Unnecessary Roughness (15 Yards) to the USF 30 for a 1ST down",NR,NR,Boise State,NR
2025,1,USF,committed,Boise State,American Athletic,False Start,5,"South Florida Penalty, False Start (-5 Yards) to the BOIS 23",NR,NR,USF,NR
2025,1,Boise State,drawn,USF,Mountain West,False Start,5,"South Florida Penalty, False Start (-5 Yards) to the BOIS 23",NR,NR,Boise State,NR
2025,1,Boise State,committed,USF,Mountain West,Offside,5,"South Florida Penalty, Defensive Offside (5 Yards) to the BOIS 30",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,Offside,5,"South Florida Penalty, Defensive Offside (5 Yards) to the BOIS 30",NR,NR,USF,NR
2025,1,Boise State,committed,USF,Mountain West,Roughing,11,"Maddux Madsen pass complete to Matt Lauter for 20 yds to the USF 22 for a 1ST down South Florida Penalty, Roughing Passer (11 Yards) to the USF 11 for a 1ST down",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,Roughing,11,"Maddux Madsen pass complete to Matt Lauter for 20 yds to the USF 22 for a 1ST down South Florida Penalty, Roughing Passer (11 Yards) to the USF 11 for a 1ST down",NR,NR,USF,NR
2025,1,Boise State,committed,USF,Mountain West,False Start,5,"Boise State Penalty, False Start (-5 Yards) to the USF 16",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,False Start,5,"Boise State Penalty, False Start (-5 Yards) to the USF 16",NR,NR,USF,NR
2025,1,Boise State,committed,USF,Mountain West,False Start,5,"Boise State Penalty, False Start (-5 Yards) to the USF 46",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,False Start,5,"Boise State Penalty, False Start (-5 Yards) to the USF 46",NR,NR,USF,NR
2025,1,Boise State,committed,USF,Mountain West,Delay of Game,5,"Boise State Penalty, Delay of Game (-5 Yards) to the USF 46",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,Delay of Game,5,"Boise State Penalty, Delay of Game (-5 Yards) to the USF 46",NR,NR,USF,NR
2025,1,USF,committed,Boise State,American Athletic,False Start,5,"South Florida Penalty, False Start (-5 Yards) to the USF 32",NR,NR,USF,NR
2025,1,Boise State,drawn,USF,Mountain West,False Start,5,"South Florida Penalty, False Start (-5 Yards) to the USF 32",NR,NR,Boise State,NR
2025,1,Boise State,committed,USF,Mountain West,Delay of Game,1,"Boise State Penalty, Delay of Game (-1 Yards) to the BOIS 2",NR,NR,Boise State,NR
2025,1,USF,drawn,Boise State,American Athletic,Delay of Game,1,"Boise State Penalty, Delay of Game (-1 Yards) to the BOIS 2",NR,NR,USF,NR
2025,1,USF,committed,Boise State,American Athletic,Pass Interference,6,"Brown, Byrum pass incomplete to Singleton, Keshaun, PENALTY BOIS pass interference 6 yards to the SOUFLA30, NO PLAY, 1ST DOWN SOUFLA.",NR,NR,USF,NR
2025,1,Boise State,drawn,USF,Mountain West,Pass Interference,6,"Brown, Byrum pass incomplete to Singleton, Keshaun, PENALTY BOIS pass interference 6 yards to the SOUFLA30, NO PLAY, 1ST DOWN SOUFLA.",NR,NR,Boise State,NR
2025,1,USF,committed,Boise State,American Athletic,Unsportsmanlike Conduct,15,"Boise State Penalty, Unsportsmanlike Conduct (15 Yards) to the 50 yard line",NR,NR,USF,NR
