offense,conference,penalty_type,total_penalties,total_yards,average_yards_per_penalty
Air Force,MWC,Holding,15,54.0,3.6
Air Force,MWC,False Start,7,30.0,4.29
Air Force,MWC,Other / Unclassified,6,32.0,5.33
Air Force,MWC,Face Mask,4,21.0,5.25
Air Force,MWC,Illegal Formation,3,11.0,3.67
Air Force,MWC,Offside,3,10.0,3.33
Air Force,MWC,Pass Interference,2,25.0,12.5
Air Force,MWC,Roughing the Passer,2,28.0,14.0
Air Force,MWC,Personal Foul,1,1.0,1.0
Air Force,MWC,Unsportsmanlike Conduct,1,0.0,0.0
Akron,MAC,False Start,12,105.0,8.75
Akron,MAC,Other / Unclassified,8,12.0,1.5
Akron,MAC,Pass Interference,8,126.0,15.75
Akron,MAC,Holding,7,84.0,12.0
Akron,MAC,Personal Foul,7,90.0,12.86
Akron,MAC,Delay of Game,6,20.0,3.33
Akron,MAC,Face Mask,6,102.0,17.0
Akron,MAC,Offside,4,10.0,2.5
Akron,MAC,Unsportsmanlike Conduct,2,15.0,7.5
Akron,MAC,Illegal Formation,1,49.0,49.0
Akron,MAC,Roughing the Passer,1,15.0,15.0
Akron,MAC,Targeting,1,15.0,15.0
Alabama,SEC,Holding,10,84.0,8.4
Alabama,SEC,False Start,9,20.0,2.22
Alabama,SEC,Offside,7,25.0,3.57
Alabama,SEC,Personal Foul,7,102.0,14.57
Alabama,SEC,Pass Interference,5,102.0,20.4
Alabama,SEC,Delay of Game,3,15.0,5.0
Alabama,SEC,Other / Unclassified,3,10.0,3.33
Alabama,SEC,Unsportsmanlike Conduct,2,5.0,2.5
Alabama,SEC,Illegal Formation,1,28.0,28.0
Alabama,SEC,Illegal Motion,1,5.0,5.0
Alabama,SEC,Roughing,1,0.0,0.0
Alabama,SEC,Targeting,1,15.0,15.0
App State,SBC,Pass Interference,11,76.0,6.91
App State,SBC,False Start,10,50.0,5.0
App State,SBC,Holding,9,31.0,3.44
App State,SBC,Delay of Game,5,20.0,4.0
App State,SBC,Face Mask,4,56.0,14.0
App State,SBC,Roughing the Passer,4,30.0,7.5
App State,SBC,Offside,3,37.0,12.33
App State,SBC,Unsportsmanlike Conduct,3,39.0,13.0
App State,SBC,Illegal Formation,2,13.0,6.5
App State,SBC,Other / Unclassified,1,5.0,5.0
