team,conference,week,role,penalty_type,total_penalties,total_yards,avg_yards_per_penalty,AP_rank,Coaches_rank
Air Force,Mountain West,1,committed,Holding,2,0,0.0,NR,NR
Air Force,Mountain West,1,committed,Illegal Formation,1,6,6.0,NR,NR
Air Force,Mountain West,1,committed,Offside,1,5,5.0,NR,NR
Air Force,Mountain West,1,drawn,False Start,2,5,2.5,NR,NR
Air Force,Mountain West,1,drawn,Other / Unclassified,1,0,0.0,NR,NR
Air Force,Mountain West,1,drawn,Pass Interference,2,20,10.0,NR,NR
Air Force,Mountain West,1,drawn,Personal Foul,2,0,0.0,NR,NR
Air Force,Mountain West,3,committed,Holding,2,0,0.0,NR,NR
Air Force,Mountain West,3,committed,Other / Unclassified,1,10,10.0,NR,NR
Air Force,Mountain West,3,committed,Unsportsmanlike Conduct,1,0,0.0,NR,NR
Air Force,Mountain West,3,drawn,False Start,1,0,0.0,NR,NR
Air Force,Mountain West,3,drawn,Other / Unclassified,2,10,5.0,NR,NR
Air Force,Mountain West,3,drawn,Pass Interference,1,0,0.0,NR,NR
Air Force,Mountain West,3,drawn,Personal Foul,1,0,0.0,NR,NR
Air Force,Mountain West,4,committed,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,4,committed,Holding,4,16,4.0,NR,NR
Air Force,Mountain West,4,committed,Offside,1,5,5.0,NR,NR
Air Force,Mountain West,4,committed,Other / Unclassified,1,7,7.0,NR,NR
Air Force,Mountain West,4,committed,Roughing the Passer,1,15,15.0,NR,NR
Air Force,Mountain West,4,drawn,False Start,3,15,5.0,NR,NR
Air Force,Mountain West,4,drawn,Holding,2,10,5.0,NR,NR
Air Force,Mountain West,4,drawn,Illegal Formation,1,5,5.0,NR,NR
Air Force,Mountain West,4,drawn,Other / Unclassified,2,25,12.5,NR,NR
Air Force,Mountain West,4,drawn,Pass Interference,1,7,7.0,NR,NR
Air Force,Mountain West,4,drawn,Personal Foul,1,8,8.0,NR,NR
Air Force,Mountain West,5,committed,Face Mask,1,2,2.0,NR,NR
Air Force,Mountain West,5,committed,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,5,committed,Offside,1,0,0.0,NR,NR
Air Force,Mountain West,5,committed,Other / Unclassified,2,5,2.5,NR,NR
Air Force,Mountain West,5,drawn,Delay of Game,1,2,2.0,NR,NR
Air Force,Mountain West,5,drawn,Holding,1,9,9.0,NR,NR
Air Force,Mountain West,5,drawn,Other / Unclassified,2,5,2.5,NR,NR
Air Force,Mountain West,5,drawn,Personal Foul,1,3,3.0,NR,NR
Air Force,Mountain West,6,committed,Holding,1,10,10.0,NR,NR
Air Force,Mountain West,6,committed,Pass Interference,1,10,10.0,NR,NR
Air Force,Mountain West,6,drawn,Delay of Game,3,15,5.0,NR,NR
Air Force,Mountain West,6,drawn,False Start,2,6,3.0,NR,NR
Air Force,Mountain West,6,drawn,Holding,1,0,0.0,NR,NR
Air Force,Mountain West,6,drawn,Offside,1,0,0.0,NR,NR
Air Force,Mountain West,6,drawn,Other / Unclassified,1,15,15.0,NR,NR
Air Force,Mountain West,6,drawn,Personal Foul,1,15,15.0,NR,NR
Air Force,Mountain West,7,committed,Face Mask,2,18,9.0,NR,NR
Air Force,Mountain West,7,committed,False Start,2,10,5.0,NR,NR
Air Force,Mountain West,7,committed,Holding,1,0,0.0,NR,NR
Air Force,Mountain West,7,committed,Other / Unclassified,2,10,5.0,NR,NR
Air Force,Mountain West,7,drawn,Face Mask,1,0,0.0,NR,NR
