year,week,offense,defense,penalty_type,penalty_yards,play_text
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Chase Hendricks) to the RUTG 48"
2025,1,Rutgers,Ohio,False Start,5.0,"Ohio Penalty, false start (5 Yards) to the OHIO 8"
2025,1,Ohio,Rutgers,Face Mask,15.0,"David Dellenbach kickoff Ohio Penalty, face mask (15 yards) (-15 Yards) to the 50 yard line"
2025,1,Rutgers,Ohio,False Start,5.0,"Ohio Penalty, false start (5 Yards) to the RUTG 42"
2025,1,Rutgers,Ohio,Delay of Game,5.0,"Ohio Penalty, delay of game (5 Yards) to the RUTG 46"
2025,1,Ohio,Rutgers,Delay of Game,5.0,"Ohio Penalty, delay of game (-5 Yards) to the RUTG 48 for a 1ST down"
2025,1,Rutgers,Ohio,Holding,,"Athan Kaliakmanis pass incomplete for a 1ST down Ohio Penalty, Defensive holding (Jalen Thomeson) to the RUTG 47 for a 1ST down"
2025,1,Ohio,Rutgers,False Start,5.0,"PENALTY OHIO False Start (Marsh,Joseph) 5 yards from OHIO28 to OHIO23. NO PLAY."
2025,1,Ohio,Rutgers,Face Mask,15.0,"PENALTY RUT Face Mask (Elad,Jett) 15 yards from OHIO35 to OHIO50. NO PLAY."
2025,1,Rutgers,Ohio,Other / Unclassified,,"Jack Scullion kickoff for 55 yds , Eamonn Dennis return for 13 yds to the OHIO 48 Ohio Penalty, illegal block (Delaney Crawford) to the OHIO 13"
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Joseph Marsh) to the OHIO 23"
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Sieh Bangura) to the OHIO 3"
2025,1,Ohio,Rutgers,False Start,,"Ohio Penalty, false start (Jordon Jones) to the RUTG 13"
2025,1,Bowling Green,Lafayette,Offside,5.0,"(06:00) No Huddle-Shotgun Pyne,Drew pass incomplete short to Hogan,Finn thrown to LC45 PENALTY LC Offside (Selvitelli,Dominic) 5 yards from LC49 to LC44. NO PLAY."
2025,1,Lafayette,Bowling Green,Other / Unclassified,15.0,"Bowling Green Penalty, (15 Yards) to the LAF 47 for a 1ST down"
2025,1,Bowling Green,Lafayette,Unsportsmanlike Conduct,,"Lafayette Penalty, UNS: Unsportsmanlike Conduct (Michael Vaughn) to the LAF 37 for a 1ST down"
2025,1,Lafayette,Bowling Green,Other / Unclassified,7.0,"Bowling Green Penalty, (7 Yards) to the BGSU 7 for a 1ST down"
2025,1,Lafayette,Bowling Green,Other / Unclassified,,"Jason Penza run for 9 yds to the BGSU 30 Lafayette Penalty, Illegal Block (Ethan Hosak) to the BGSU 40"
2025,1,Lafayette,Bowling Green,Other / Unclassified,,"(13:05) No Huddle-Shotgun DeNobile,Dean pass complete deep left to Steward,Elijah caught at BGSU12, for 0 yards to the BGSU41 (McClendon,Jalen) PENALTY LC Ineligible Downfield on Pass (Adams,Spencer) 5 yards from BGSU41 to BGSU46. NO PLAY."
2025,1,Bowling Green,Lafayette,Delay of Game,5.0,"PENALTY BGSU Delay Of Game (Pyne,Drew) 5 yards from LC46 to BGSU49. NO PLAY."
2025,1,Boise State,South Florida,False Start,5.0,"Boise State Penalty, False Start (-5 Yards) to the USF 6"
2025,1,Wagner,Kansas,Delay of Game,5.0,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG30 to WAG25. NO PLAY."
2025,1,Wagner,Kansas,Delay of Game,5.0,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG25 to WAG20. NO PLAY."
2025,1,Wagner,Kansas,Other / Unclassified,,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 41 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (Yards) to the KU 41"
2025,1,Wagner,Kansas,Other / Unclassified,10.0,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 22 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (10 Yards) to the KU 22"
