offense,defense,penalty_type,total_penalties,total_yards,average_yards_per_penalty
Abilene Christian,Stephen F. Austin,False Start,6,30.0,5.0
Abilene Christian,Utah Tech,Holding,6,29.0,4.83
Abilene Christian,Stephen F. Austin,Holding,4,40.0,10.0
Abilene Christian,TCU,Pass Interference,4,71.0,17.75
Abilene Christian,North Alabama,Holding,3,12.0,4.0
Abilene Christian,Tarleton State,Holding,3,71.0,23.67
Abilene Christian,Incarnate Word,False Start,2,0.0,0.0
Abilene Christian,Incarnate Word,Other / Unclassified,2,8.0,4.0
Abilene Christian,Southern Utah,Holding,2,9.0,4.5
Abilene Christian,Tulsa,Offside,2,10.0,5.0
Abilene Christian,Austin Peay,Offside,1,5.0,5.0
Abilene Christian,Austin Peay,Other / Unclassified,1,10.0,10.0
Abilene Christian,Austin Peay,Pass Interference,1,15.0,15.0
Abilene Christian,Austin Peay,Roughing the Passer,1,15.0,15.0
Abilene Christian,Incarnate Word,Delay of Game,1,0.0,0.0
Abilene Christian,Incarnate Word,Face Mask,1,15.0,15.0
Abilene Christian,Incarnate Word,Holding,1,0.0,0.0
Abilene Christian,Incarnate Word,Roughing,1,0.0,0.0
Abilene Christian,North Alabama,Face Mask,1,15.0,15.0
Abilene Christian,Southern Utah,False Start,1,5.0,5.0
Abilene Christian,Southern Utah,Pass Interference,1,15.0,15.0
Abilene Christian,Southern Utah,Personal Foul,1,0.0,0.0
Abilene Christian,Stephen F. Austin,Offside,1,5.0,5.0
Abilene Christian,Stephen F. Austin,Personal Foul,1,0.0,0.0
Abilene Christian,Stephen F. Austin,Unsportsmanlike Conduct,1,0.0,0.0
Abilene Christian,TCU,False Start,1,5.0,5.0
Abilene Christian,TCU,Offside,1,0.0,0.0
Abilene Christian,TCU,Roughing the Passer,1,8.0,8.0
Abilene Christian,Tarleton State,Face Mask,1,15.0,15.0
Abilene Christian,Tarleton State,Offside,1,5.0,5.0
Abilene Christian,Tulsa,False Start,1,5.0,5.0
Abilene Christian,Tulsa,Pass Interference,1,15.0,15.0
Abilene Christian,Utah Tech,Pass Interference,1,15.0,15.0
Abilene Christian,West Georgia,False Start,1,5.0,5.0
Abilene Christian,West Georgia,Personal Foul,1,0.0,0.0
Abilene Christian,West Georgia,Unsportsmanlike Conduct,1,9.0,9.0
Adrian,Valparaiso,Other / Unclassified,4,0.0,0.0
Adrian,Valparaiso,False Start,3,15.0,5.0
Adrian,Valparaiso,Delay of Game,1,5.0,5.0
Adrian,Valparaiso,Holding,1,0.0,0.0
Air Force,San José State,Holding,5,28.0,5.6
Air Force,Boise State,Holding,4,16.0,4.0
Air Force,Bucknell,Holding,2,0.0,0.0
Air Force,Hawai'i,Other / Unclassified,2,5.0,2.5
Air Force,UNLV,Face Mask,2,18.0,9.0
Air Force,UNLV,False Start,2,10.0,5.0
Air Force,UNLV,Other / Unclassified,2,10.0,5.0
Air Force,Utah State,Holding,2,0.0,0.0
Air Force,Wyoming,False Start,2,5.0,2.5
Air Force,Army,Illegal Formation,1,2.0,2.0
Air Force,Army,Pass Interference,1,15.0,15.0
Air Force,Army,Roughing the Passer,1,13.0,13.0
Air Force,Boise State,False Start,1,5.0,5.0
Air Force,Boise State,Offside,1,5.0,5.0
Air Force,Boise State,Other / Unclassified,1,7.0,7.0
Air Force,Boise State,Roughing the Passer,1,15.0,15.0
Air Force,Bucknell,Illegal Formation,1,6.0,6.0
Air Force,Bucknell,Offside,1,5.0,5.0
Air Force,Hawai'i,Face Mask,1,2.0,2.0
Air Force,Hawai'i,False Start,1,5.0,5.0
Air Force,Hawai'i,Offside,1,0.0,0.0
Air Force,Navy,Holding,1,10.0,10.0
Air Force,Navy,Pass Interference,1,10.0,10.0
Air Force,San José State,Face Mask,1,1.0,1.0
Air Force,San José State,False Start,1,5.0,5.0
Air Force,San José State,Illegal Formation,1,3.0,3.0
Air Force,San José State,Personal Foul,1,1.0,1.0
Air Force,UNLV,Holding,1,0.0,0.0
Air Force,Utah State,Other / Unclassified,1,10.0,10.0
Air Force,Utah State,Unsportsmanlike Conduct,1,0.0,0.0
Akron,Miami (OH),False Start,7,35.0,5.0
Akron,Buffalo,Pass Interference,3,55.0,18.33
Akron,UAB,Offside,3,9.0,3.0
Akron,Wyoming,Other / Unclassified,3,5.0,1.67
Akron,Buffalo,Holding,2,70.0,35.0
Akron,Central Michigan,False Start,2,0.0,0.0
Akron,Central Michigan,Personal Foul,2,50.0,25.0
Akron,Duquesne,Other / Unclassified,2,5.0,2.5
Akron,Nebraska,Pass Interference,2,26.0,13.0
Akron,UAB,Personal Foul,2,15.0,7.5
Akron,Wyoming,Delay of Game,2,5.0,2.5
Akron,Ball State,Holding,1,4.0,4.0
Akron,Ball State,Illegal Formation,1,49.0,49.0
