offense,defense,play_text,penalty_type,penalty_yards
Ohio,Rutgers,"Ohio Penalty, false start (Chase Hendricks) to the RUTG 48",False Start,
Rutgers,Ohio,"Ohio Penalty, false start (5 Yards) to the OHIO 8",False Start,5.0
Wagner,Kansas,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG30 to WAG25. NO PLAY.",Delay of Game,5.0
Wagner,Kansas,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG25 to WAG20. NO PLAY.",Delay of Game,5.0
Wagner,Kansas,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 41 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (Yards) to the KU 41",Other / Unclassified,
Wagner,Kansas,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 22 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (10 Yards) to the KU 22",Other / Unclassified,10.0
Kansas,Wagner,"Kansas Penalty, (-10 Yards) to the WAG 43",Other / Unclassified,10.0
Kansas,Wagner,"Grayden Addison punt for 38 yds, punt out-of-bounds at the WAG 31 Wagner Penalty, Offensive Holding (Brendan Leal) to the WAG 31",Holding,
Kansas,Wagner,"Grayden Addison punt for 38 yds, punt out-of-bounds at the WAG 31 Wagner Penalty, Offensive Holding (Brendan Leal) to the WAG 21",Holding,
Wagner,Kansas,"(08:41) No Huddle-Shotgun Stevens,Jack rush right for 8 yards gain to the WAG29 (Dye,Jalen), out of bounds PENALTY WAG Holding (Guitian,Prinz) 10 yards from WAG21 to WAG11. NO PLAY.",Holding,8.0
Kansas,Wagner,"(01:33) No Huddle-Shotgun Hishaw Jr.,Daniel rush middle for 3 yards gain to the KU50 (Johnson,Jordan) PENALTY WAG Illegal Substitution 5 yards from KU47 to WAG48. NO PLAY.",Other / Unclassified,3.0
Kansas,Wagner,"(01:23) No Huddle-Shotgun Daniels,Jalon pass incomplete deep right to Henderson Jr.,Emmanuel thrown to WAG10 PENALTY WAG Pass Interference (Brown,Jayden) 15 yards from WAG48 to WAG33, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Wagner,Kansas,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG41 to WAG36. NO PLAY.",Delay of Game,5.0
Kansas,Wagner,"PENALTY WAG Offside (Charles,Terry) 5 yards from WAG35 to WAG30. NO PLAY.",Offside,5.0
Wagner,Kansas,PENALTY WAG Delay Of Game 5 yards from WAG26 to WAG21. NO PLAY.,Delay of Game,5.0
Kansas,Wagner,"(08:18) Shotgun Stewart III,Harry rush middle for 1 yard gain to the WAG29 (Leal,Brendan) PENALTY KU Illegal Formation 5 yards from WAG30 to WAG35. NO PLAY.",Illegal Formation,1.0
Kansas,Wagner,"PENALTY KU False Start (Kelly,Hank) 5 yards from WAG11 to WAG16. NO PLAY.",False Start,5.0
Kansas,Wagner,"Justin Thurman run for 18 yds to the KU 43 Kansas Penalty, (-10 Yards) to the KU 33",Other / Unclassified,10.0
Campbell,Rhode Island,"No Huddle-Shotgun Chandler II,Mike rush left for 0 yards to the CAMP39 (Davy,Rohan) PENALTY URI UNS: Unsportsmanlike Conduct (Johnson,Ayinde) 15 yards from CAMP39 to URI46, 1ST DOWN. NO PLAY.",Unsportsmanlike Conduct,
Rhode Island,Campbell,"Campbell Penalty, Defensive Offside (Randall King) declined",Offside,
Rhode Island,Campbell,"PENALTY URI False Start (Schaeffer,Kevin) 5 yards from CAMP24 to CAMP29. NO PLAY.",False Start,5.0
Rhode Island,Campbell,"PENALTY URI Delay Of Game (Allen,James) 5 yards from CAMP21 to CAMP26. NO PLAY.",Delay of Game,5.0
Campbell,Rhode Island,"PENALTY URI Offside (Akinsulire,Tosin) 2 yards from URI03 to URI01. NO PLAY.",Offside,2.0
Campbell,Rhode Island,"PENALTY URI Offside (Pena,A.J.) 5 yards from CAMP20 to CAMP25. NO PLAY.",Offside,5.0
Campbell,Rhode Island,"Kamden Sixkiller run for 14 yds to the URI 34 for a 1ST down Rhode Island Penalty, Defensive Offside (Yards) declined for a 1ST down",Offside,
Rhode Island,Campbell,"No Huddle-Shotgun Farrell,Devin pass incomplete short right to Buchanan,Marquis thrown to CAMP00 PENALTY CAMP Pass Interference (Alexander,Markeece) 1 yard from CAMP03 to CAMP02, 1ST DOWN. NO PLAY.",Pass Interference,1.0
Rhode Island,Campbell,"No Huddle-Shotgun Farrell,Devin pass incomplete short left to Gaines,Greg thrown to CAMP00 PENALTY CAMP Pass Interference (Alexander,Markeece) 2 yards from CAMP04 to CAMP02, 1ST DOWN. NO PLAY.",Pass Interference,2.0
Campbell,Rhode Island,"No Huddle-Shotgun Chandler II,Mike rush middle for 3 yards gain to the URI48 (DePina-Gray,Andre) PENALTY CAMP Holding (Merriweather,Mason) 10 yards from CAMP49 to CAMP39. NO PLAY.",Holding,3.0
Rhode Island,Campbell,"No Huddle Farrell,Devin pass incomplete short left to Buchanan,Marquis thrown to CAMP30 PENALTY CAMP Pass Interference (Guzman,Brandon) 15 yards from CAMP49 to CAMP34, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Rhode Island,Campbell,"No Huddle Farrell,Devin pass incomplete deep right to Gaines,Greg thrown to CAMP26 PENALTY CAMP Pass Interference (Alexander,Markeece) 15 yards from URI47 to CAMP38, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Ohio,Rutgers,"David Dellenbach kickoff Ohio Penalty, face mask (15 yards) (-15 Yards) to the 50 yard line",Face Mask,15.0
Rutgers,Ohio,"Ohio Penalty, false start (5 Yards) to the RUTG 42",False Start,5.0
Rutgers,Ohio,"Ohio Penalty, delay of game (5 Yards) to the RUTG 46",Delay of Game,5.0
Ohio,Rutgers,"Ohio Penalty, delay of game (-5 Yards) to the RUTG 48 for a 1ST down",Delay of Game,5.0
Rutgers,Ohio,"Athan Kaliakmanis pass incomplete for a 1ST down Ohio Penalty, Defensive holding (Jalen Thomeson) to the RUTG 47 for a 1ST down",Holding,
Ohio,Rutgers,"PENALTY OHIO False Start (Marsh,Joseph) 5 yards from OHIO28 to OHIO23. NO PLAY.",False Start,5.0
Ohio,Rutgers,"PENALTY RUT Face Mask (Elad,Jett) 15 yards from OHIO35 to OHIO50. NO PLAY.",Face Mask,15.0
Rhode Island,Campbell,"No Huddle Littleton, Jr.,Antwain rush right for 16 yards gain to the CAMP13 (Guzman,Brandon), out of bounds PENALTY URI Holding (Buxton,Thomas) 10 yards from CAMP29 to CAMP39. NO PLAY.",Holding,16.0
Rhode Island,Campbell,"No Huddle Farrell,Devin pass incomplete deep left to Gaines,Greg thrown to CAMP12 PENALTY CAMP Pass Interference (Alexander,Markeece) 15 yards from CAMP39 to CAMP24, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Rhode Island,Campbell,"Garth White kickoff for 60 yds , Barry Tate return for 24 yds to the CAM 41 Campbell Penalty, Illegal Block (10 Yards) to the CAM 14",Other / Unclassified,10.0
Rhode Island,Campbell,"Devin Farrell run for 8 yds to the CAM 43 Rhode Island Penalty, Offensive Holding (Greg Gaines III) to the URI 47",Holding,
Campbell,Rhode Island,"No Huddle-Shotgun Sixkiller,Kamden sacked for loss of 7 yards to the URI32 (Mankins,Case) PENALTY URI Illegal Substitution 5 yards from URI25 to URI20. NO PLAY.",Other / Unclassified,7.0
Campbell,Rhode Island,"PENALTY CAMP False Start (King,Randall) 5 yards from URI23 to URI28. NO PLAY.",False Start,5.0
Campbell,Rhode Island,"Campbell Penalty, Personal Foul (Kameron Durant) to the URI 43 for a 1ST down",Personal Foul,
Campbell,Rhode Island,"PENALTY CAMP False Start (King,Randall) 5 yards from CAMP10 to CAMP05. NO PLAY.",False Start,5.0
Campbell,Rhode Island,"No Huddle-Shotgun Sixkiller,Kamden rush middle for 0 yards to the CAMP05 (Mankins,Case) PENALTY URI Offside (Pena,A.J.) 5 yards from CAMP05 to CAMP10. NO PLAY.",Offside,
