offense,defense,penalty_type,total_penalties,total_yards,average_yards_per_penalty
Abilene Christian,Tulsa,Offside,2,10.0,5.0
Abilene Christian,Tulsa,False Start,1,5.0,5.0
Abilene Christian,Tulsa,Pass Interference,1,15.0,15.0
Air Force,Bucknell,Holding,2,0.0,0.0
Air Force,Bucknell,Illegal Formation,1,6.0,6.0
Air Force,Bucknell,Offside,1,5.0,5.0
Akron,Wyoming,Other / Unclassified,3,5.0,1.67
Akron,Wyoming,Delay of Game,2,5.0,2.5
Akron,Wyoming,Holding,1,0.0,0.0
Alabama,Florida State,False Start,2,10.0,5.0
Alabama,Florida State,Holding,2,20.0,10.0
Alabama,Florida State,Delay of Game,1,5.0,5.0
Alabama,Florida State,Offside,1,0.0,0.0
Alabama,Florida State,Pass Interference,1,15.0,15.0
Alabama A&M,Arkansas,False Start,5,25.0,5.0
Alabama A&M,Arkansas,Offside,2,40.0,20.0
Alabama State,UAB,Offside,3,11.0,3.67
Alabama State,UAB,Other / Unclassified,2,14.0,7.0
Alabama State,UAB,False Start,1,5.0,5.0
Alabama State,UAB,Holding,1,16.0,16.0
Alabama State,UAB,Pass Interference,1,15.0,15.0
Alabama State,UAB,Personal Foul,1,63.0,63.0
Alcorn State,Northwestern State,Holding,6,62.0,10.33
Alcorn State,Northwestern State,False Start,4,20.0,5.0
Alcorn State,Northwestern State,Offside,3,15.0,5.0
Alcorn State,Northwestern State,Other / Unclassified,3,9.0,3.0
Alcorn State,Northwestern State,Personal Foul,3,22.0,7.33
Alcorn State,Northwestern State,Delay of Game,1,5.0,5.0
Alcorn State,Northwestern State,Unsportsmanlike Conduct,1,5.0,5.0
Allen,Morehead State,Pass Interference,3,41.0,13.67
Allen,Morehead State,Other / Unclassified,2,0.0,0.0
Allen,Morehead State,Personal Foul,1,0.0,0.0
Allen,Morehead State,Roughing the Passer,1,50.0,50.0
App State,Charlotte,Holding,3,0.0,0.0
App State,Charlotte,Delay of Game,1,0.0,0.0
App State,Charlotte,Pass Interference,1,0.0,0.0
Arizona,Hawai'i,Holding,4,16.0,4.0
Arizona,Hawai'i,Face Mask,2,30.0,15.0
Arizona,Hawai'i,Offside,2,6.0,3.0
Arizona,Hawai'i,Other / Unclassified,2,5.0,2.5
Arizona,Hawai'i,False Start,1,5.0,5.0
Arizona State,Northern Arizona,Holding,4,22.0,5.5
Arizona State,Northern Arizona,Delay of Game,3,15.0,5.0
Arizona State,Northern Arizona,False Start,2,10.0,5.0
Arizona State,Northern Arizona,Other / Unclassified,1,64.0,64.0
Arizona State,Northern Arizona,Pass Interference,1,15.0,15.0
Arkansas,Alabama A&M,False Start,2,10.0,5.0
Arkansas,Alabama A&M,Holding,2,33.0,16.5
Arkansas,Alabama A&M,Pass Interference,1,7.0,7.0
Arkansas State,Southeast Missouri State,Holding,4,0.0,0.0
Arkansas State,Southeast Missouri State,False Start,3,0.0,0.0
Arkansas State,Southeast Missouri State,Pass Interference,3,0.0,0.0
Arkansas State,Southeast Missouri State,Other / Unclassified,1,0.0,0.0
Arkansas State,Southeast Missouri State,Personal Foul,1,0.0,0.0
Arkansas-Pine Bluff,Texas Tech,Holding,3,24.0,8.0
Arkansas-Pine Bluff,Texas Tech,Delay of Game,2,10.0,5.0
Arkansas-Pine Bluff,Texas Tech,Offside,2,10.0,5.0
Arkansas-Pine Bluff,Texas Tech,Personal Foul,1,0.0,0.0
Army,Tarleton State,Other / Unclassified,2,13.0,6.5
Army,Tarleton State,Pass Interference,2,23.0,11.5
Army,Tarleton State,False Start,1,5.0,5.0
Army,Tarleton State,Holding,1,10.0,10.0
Auburn,Baylor,False Start,2,10.0,5.0
Auburn,Baylor,Holding,2,0.0,0.0
Auburn,Baylor,Illegal Formation,1,39.0,39.0
Austin Peay,Middle Tennessee,Delay of Game,2,10.0,5.0
Austin Peay,Middle Tennessee,Holding,2,19.0,9.5
Austin Peay,Middle Tennessee,Other / Unclassified,1,15.0,15.0
Austin Peay,Middle Tennessee,Pass Interference,1,15.0,15.0
BYU,Portland State,Delay of Game,1,5.0,5.0
BYU,Portland State,Holding,1,4.0,4.0
BYU,Portland State,Personal Foul,1,4.0,4.0
Ball State,Purdue,False Start,1,3.0,3.0
Ball State,Purdue,Holding,1,0.0,0.0
Ball State,Purdue,Other / Unclassified,1,5.0,5.0
Ball State,Purdue,Personal Foul,1,1.0,1.0
Baylor,Auburn,Holding,7,61.0,8.71
Baylor,Auburn,Pass Interference,2,23.0,11.5
Baylor,Auburn,False Start,1,5.0,5.0
Bethune-Cookman,Florida International,Holding,2,33.0,16.5
Bethune-Cookman,Florida International,Delay of Game,1,5.0,5.0
Bethune-Cookman,Florida International,False Start,1,5.0,5.0
Bethune-Cookman,Florida International,Pass Interference,1,0.0,0.0
Boise State,South Florida,False Start,3,15.0,5.0
Boise State,South Florida,Delay of Game,2,6.0,3.0
Boise State,South Florida,Offside,1,5.0,5.0
Boise State,South Florida,Pass Interference,1,10.0,10.0
Boise State,South Florida,Roughing,1,11.0,11.0
Boston College,Fordham,Other / Unclassified,1,0.0,0.0
Bowling Green,Lafayette,Delay of Game,1,5.0,5.0
Bowling Green,Lafayette,Offside,1,5.0,5.0
Bowling Green,Lafayette,Unsportsmanlike Conduct,1,0.0,0.0
Bryant,New Mexico State,Holding,3,10.0,3.33
Bryant,New Mexico State,False Start,1,5.0,5.0
Bryant,New Mexico State,Other / Unclassified,1,10.0,10.0
Bryant,New Mexico State,Personal Foul,1,15.0,15.0
Bucknell,Air Force,False Start,2,5.0,2.5
Bucknell,Air Force,Pass Interference,2,20.0,10.0
Bucknell,Air Force,Personal Foul,2,0.0,0.0
Bucknell,Air Force,Other / Unclassified,1,0.0,0.0
Buffalo,Minnesota,Delay of Game,1,5.0,5.0
Buffalo,Minnesota,Offside,1,5.0,5.0
Buffalo,Minnesota,Other / Unclassified,1,0.0,0.0
Butler,Northern Iowa,False Start,1,5.0,5.0
Butler,Northern Iowa,Personal Foul,1,0.0,0.0
Cal Poly,San Diego,Other / Unclassified,3,15.0,5.0
Cal Poly,San Diego,Pass Interference,2,0.0,0.0
Cal Poly,San Diego,False Start,1,5.0,5.0
Cal Poly,San Diego,Holding,1,3.0,3.0
Cal Poly,San Diego,Illegal Formation,1,2.0,2.0
Cal Poly,San Diego,Offside,1,0.0,0.0
Cal Poly,San Diego,Unsportsmanlike Conduct,1,0.0,0.0
California,Oregon State,Other / Unclassified,2,5.0,2.5
California,Oregon State,False Start,1,50.0,50.0
California,Oregon State,Holding,1,10.0,10.0
California,Oregon State,Offside,1,0.0,0.0
California,Oregon State,Pass Interference,1,0.0,0.0
Campbell,Rhode Island,Offside,4,7.0,1.75
Campbell,Rhode Island,False Start,2,10.0,5.0
Campbell,Rhode Island,Holding,1,3.0,3.0
Campbell,Rhode Island,Other / Unclassified,1,7.0,7.0
Campbell,Rhode Island,Personal Foul,1,0.0,0.0
Campbell,Rhode Island,Unsportsmanlike Conduct,1,0.0,0.0
Central Arkansas,Missouri,Pass Interference,3,26.0,8.67
Central Arkansas,Missouri,Holding,1,10.0,10.0
Central Arkansas,Missouri,Other / Unclassified,1,10.0,10.0
Central Connecticut,UConn,False Start,4,20.0,5.0
Central Connecticut,UConn,Pass Interference,3,35.0,11.67
Central Connecticut,UConn,Holding,1,0.0,0.0
Central Connecticut,UConn,Other / Unclassified,1,5.0,5.0
Central Michigan,San José State,Other / Unclassified,4,25.0,6.25
Central Michigan,San José State,False Start,2,10.0,5.0
Chadron St,Northern Colorado,Pass Interference,2,15.0,7.5
Charleston Southern,Vanderbilt,Other / Unclassified,2,6.0,3.0
Charleston Southern,Vanderbilt,Holding,1,4.0,4.0
Charleston Southern,Vanderbilt,Pass Interference,1,15.0,15.0
Charlotte,App State,False Start,3,0.0,0.0
Charlotte,App State,Holding,3,0.0,0.0
Charlotte,App State,Personal Foul,3,0.0,0.0
Charlotte,App State,Pass Interference,1,0.0,0.0
Charlotte,App State,Roughing,1,0.0,0.0
Chattanooga,Memphis,False Start,1,5.0,5.0
Chattanooga,Memphis,Offside,1,0.0,0.0
Chattanooga,Memphis,Pass Interference,1,15.0,15.0
Cincinnati,Nebraska,False Start,4,20.0,5.0
Cincinnati,Nebraska,Holding,1,10.0,10.0
Clemson,LSU,False Start,2,5.0,2.5
Clemson,LSU,Holding,2,20.0,10.0
Coastal Carolina,Virginia,Holding,3,28.0,9.33
Coastal Carolina,Virginia,False Start,2,10.0,5.0
Coastal Carolina,Virginia,Other / Unclassified,2,47.0,23.5
Coastal Carolina,Virginia,Illegal Formation,1,42.0,42.0
Coastal Carolina,Virginia,Personal Foul,1,15.0,15.0
Colgate,Monmouth,Pass Interference,2,0.0,0.0
Colgate,Monmouth,False Start,1,0.0,0.0
Colgate,Monmouth,Holding,1,0.0,0.0
Colgate,Monmouth,Other / Unclassified,1,0.0,0.0
Colgate,Monmouth,Roughing,1,0.0,0.0
Colorado,Georgia Tech,Delay of Game,1,5.0,5.0
Colorado,Georgia Tech,Face Mask,1,15.0,15.0
Colorado,Georgia Tech,False Start,1,5.0,5.0
Colorado,Georgia Tech,Holding,1,0.0,0.0
Colorado,Georgia Tech,Personal Foul,1,0.0,0.0
Colorado State,Washington,False Start,2,10.0,5.0
Colorado State,Washington,Face Mask,1,2.0,2.0
Colorado State,Washington,Illegal Formation,1,7.0,7.0
Colorado State,Washington,Pass Interference,1,12.0,12.0
Cumberland (TN),Tennessee Tech,Other / Unclassified,2,27.0,13.5
Cumberland (TN),Tennessee Tech,Roughing the Kicker,2,78.0,39.0
Cumberland (TN),Tennessee Tech,Delay of Game,1,5.0,5.0
Cumberland (TN),Tennessee Tech,Holding,1,10.0,10.0
Cumberland (TN),Tennessee Tech,Pass Interference,1,0.0,0.0
Cumberland (TN),Tennessee Tech,Targeting,1,15.0,15.0
Davidson,Georgetown,Holding,3,0.0,0.0
Davidson,Georgetown,Delay of Game,1,0.0,0.0
Davidson,Georgetown,False Start,1,0.0,0.0
Davidson,Georgetown,Pass Interference,1,0.0,0.0
Davidson,Georgetown,Roughing,1,50.0,50.0
Dayton,Eastern Illinois,False Start,1,0.0,0.0
Dayton,Eastern Illinois,Holding,1,0.0,0.0
Dayton,Eastern Illinois,Roughing,1,0.0,0.0
Delaware,Delaware State,Holding,2,37.0,18.5
Delaware,Delaware State,False Start,1,5.0,5.0
Delaware,Delaware State,Illegal Formation,1,7.0,7.0
Delaware,Delaware State,Offside,1,5.0,5.0
Delaware,Delaware State,Other / Unclassified,1,7.0,7.0
Delaware State,Delaware,Unsportsmanlike Conduct,4,17.0,4.25
Delaware State,Delaware,Delay of Game,3,15.0,5.0
Delaware State,Delaware,False Start,2,10.0,5.0
Delaware State,Delaware,Holding,2,10.0,5.0
Delaware State,Delaware,Illegal Formation,2,0.0,0.0
Delaware State,Delaware,Other / Unclassified,1,10.0,10.0
Delaware State,Delaware,Pass Interference,1,0.0,0.0
Delaware State,Delaware,Personal Foul,1,50.0,50.0
Drake,Upper Iowa University,Delay of Game,1,5.0,5.0
Drake,Upper Iowa University,False Start,1,5.0,5.0
Drake,Upper Iowa University,Personal Foul,1,0.0,0.0
Drake,Upper Iowa University,Roughing the Passer,1,15.0,15.0
Duke,Elon,False Start,2,10.0,5.0
Duke,Elon,Offside,1,4.0,4.0
Duquesne,Pittsburgh,Delay of Game,3,15.0,5.0
Duquesne,Pittsburgh,Holding,3,16.0,5.33
Duquesne,Pittsburgh,False Start,2,10.0,5.0
Duquesne,Pittsburgh,Other / Unclassified,2,5.0,2.5
Duquesne,Pittsburgh,Offside,1,0.0,0.0
East Carolina,NC State,Holding,4,21.0,5.25
East Carolina,NC State,False Start,3,15.0,5.0
East Carolina,NC State,Other / Unclassified,2,5.0,2.5
East Carolina,NC State,Roughing the Passer,1,50.0,50.0
East Tennessee State,Murray State,Delay of Game,1,5.0,5.0
East Tennessee State,Murray State,Holding,1,10.0,10.0
East Tennessee State,Murray State,Other / Unclassified,1,7.0,7.0
East Texas A&M,SMU,False Start,5,25.0,5.0
East Texas A&M,SMU,Delay of Game,2,10.0,5.0
East Texas A&M,SMU,Holding,2,0.0,0.0
East Texas A&M,SMU,Offside,1,5.0,5.0
East Texas A&M,SMU,Roughing the Passer,1,0.0,0.0
Eastern Illinois,Dayton,Holding,2,0.0,0.0
Eastern Illinois,Dayton,Other / Unclassified,2,0.0,0.0
Eastern Illinois,Dayton,False Start,1,4.0,4.0
Eastern Illinois,Dayton,Roughing,1,0.0,0.0
Eastern Kentucky,Louisville,False Start,4,20.0,5.0
Eastern Kentucky,Louisville,Pass Interference,2,8.0,4.0
Eastern Kentucky,Louisville,Delay of Game,1,3.0,3.0
Eastern Kentucky,Louisville,Holding,1,0.0,0.0
Eastern Kentucky,Louisville,Offside,1,5.0,5.0
Eastern Michigan,Texas State,Holding,4,33.0,8.25
Eastern Michigan,Texas State,Offside,2,10.0,5.0
Eastern Michigan,Texas State,Delay of Game,1,5.0,5.0
Eastern Michigan,Texas State,False Start,1,5.0,5.0
Eastern Michigan,Texas State,Illegal Formation,1,0.0,0.0
Eastern Michigan,Texas State,Pass Interference,1,7.0,7.0
Eastern Washington,Incarnate Word,Other / Unclassified,1,0.0,0.0
Eastern Washington,Incarnate Word,Pass Interference,1,0.0,0.0
Eastern Washington,Incarnate Word,Unsportsmanlike Conduct,1,0.0,0.0
Elon,Duke,Delay of Game,2,10.0,5.0
Elon,Duke,False Start,2,7.0,3.5
Elon,Duke,Holding,2,8.0,4.0
Elon,Duke,Offside,1,5.0,5.0
Elon,Duke,Personal Foul,1,1.0,1.0
