season,week,poll,rank,school,conference,points
2025,1,Coaches Poll,1,Texas,SEC,1606
2025,1,Coaches Poll,2,Ohio State,Big Ten,1565
2025,1,Coaches Poll,3,Penn State,Big Ten,1525
2025,1,Coaches Poll,4,Georgia,SEC,1466
2025,1,Coaches Poll,5,Notre Dame,FBS Independents,1360
2025,1,Coaches Poll,6,Clemson,ACC,1324
2025,1,Coaches Poll,7,Oregon,Big Ten,1307
2025,1,Coaches Poll,8,Alabama,SEC,1210
2025,1,Coaches Poll,9,LSU,SEC,1056
2025,1,Coaches Poll,10,Miami,ACC,823
2025,1,Coaches Poll,11,Arizona State,Big 12,806
2025,1,Coaches Poll,12,Illinois,Big Ten,734
2025,1,Coaches Poll,13,South Carolina,SEC,665
2025,1,Coaches Poll,14,Michigan,Big Ten,580
2025,1,Coaches Poll,15,Ole Miss,SEC,573
2025,1,Coaches Poll,16,SMU,ACC,555
2025,1,Coaches Poll,17,Florida,SEC,498
2025,1,Coaches Poll,18,Tennessee,SEC,492
2025,1,Coaches Poll,19,Indiana,Big Ten,460
2025,1,Coaches Poll,20,Kansas State,Big 12,438
2025,1,Coaches Poll,21,Iowa State,Big 12,392
2025,1,Coaches Poll,21,Texas A&M,SEC,392
2025,1,Coaches Poll,23,BYU,Big 12,287
2025,1,Coaches Poll,24,Texas Tech,Big 12,261
2025,1,Coaches Poll,25,Boise State,Mountain West,246
2025,1,AP Top 25,1,Texas,SEC,1552
2025,1,AP Top 25,2,Penn State,Big Ten,1547
2025,1,AP Top 25,3,Ohio State,Big Ten,1472
2025,1,AP Top 25,4,Clemson,ACC,1398
2025,1,AP Top 25,5,Georgia,SEC,1331
2025,1,AP Top 25,6,Notre Dame,FBS Independents,1325
2025,1,AP Top 25,7,Oregon,Big Ten,1236
2025,1,AP Top 25,8,Alabama,SEC,1179
2025,1,AP Top 25,9,LSU,SEC,1174
2025,1,AP Top 25,10,Miami,ACC,889
2025,1,AP Top 25,11,Arizona State,Big 12,791
2025,1,AP Top 25,12,Illinois,Big Ten,713
2025,1,AP Top 25,13,South Carolina,SEC,667
2025,1,AP Top 25,14,Michigan,Big Ten,662
2025,1,AP Top 25,15,Florida,SEC,626
2025,1,AP Top 25,16,SMU,ACC,565
2025,1,AP Top 25,17,Kansas State,Big 12,512
2025,1,AP Top 25,18,Oklahoma,SEC,463
2025,1,AP Top 25,19,Texas A&M,SEC,434
2025,1,AP Top 25,20,Indiana,Big Ten,423
2025,1,AP Top 25,21,Ole Miss,SEC,370
2025,1,AP Top 25,22,Iowa State,Big 12,309
2025,1,AP Top 25,23,Texas Tech,Big 12,274
2025,1,AP Top 25,24,Tennessee,SEC,192
2025,1,AP Top 25,25,Boise State,Mountain West,191
2025,2,Coaches Poll,1,Ohio State,Big Ten,1666
2025,2,Coaches Poll,2,Penn State,Big Ten,1574
2025,2,Coaches Poll,3,Georgia,SEC,1518
2025,2,Coaches Poll,4,LSU,SEC,1469
2025,2,Coaches Poll,5,Oregon,Big Ten,1381
2025,2,Coaches Poll,6,Texas,SEC,1339
2025,2,Coaches Poll,7,Miami,ACC,1304
2025,2,Coaches Poll,8,Clemson,ACC,1067
2025,2,Coaches Poll,9,Notre Dame,FBS Independents,1038
2025,2,Coaches Poll,10,Arizona State,Big 12,957
2025,2,Coaches Poll,11,South Carolina,SEC,915
2025,2,Coaches Poll,12,Illinois,Big Ten,909
2025,2,Coaches Poll,13,Michigan,Big Ten,725
2025,2,Coaches Poll,14,Ole Miss,SEC,668
2025,2,Coaches Poll,15,Florida,SEC,638
2025,2,Coaches Poll,16,SMU,ACC,602
2025,2,Coaches Poll,17,Tennessee,SEC,563
2025,2,Coaches Poll,18,Iowa State,Big 12,518
2025,2,Coaches Poll,19,Florida State,ACC,491
2025,2,Coaches Poll,20,Alabama,SEC,390
2025,2,Coaches Poll,21,Indiana,Big Ten,369
2025,2,Coaches Poll,22,Texas A&M,SEC,363
2025,2,Coaches Poll,23,Texas Tech,Big 12,253
2025,2,Coaches Poll,24,Oklahoma,SEC,251
2025,2,Coaches Poll,25,BYU,Big 12,163
2025,2,AP Top 25,1,Ohio State,Big Ten,1636
2025,2,AP Top 25,2,Penn State,Big Ten,1558
2025,2,AP Top 25,3,LSU,SEC,1514
2025,2,AP Top 25,4,Georgia,SEC,1410
2025,2,AP Top 25,5,Miami,ACC,1360
2025,2,AP Top 25,6,Oregon,Big Ten,1302
2025,2,AP Top 25,7,Texas,SEC,1293
2025,2,AP Top 25,8,Clemson,ACC,1135
2025,2,AP Top 25,9,Notre Dame,FBS Independents,1068
2025,2,AP Top 25,10,South Carolina,SEC,882
2025,2,AP Top 25,11,Illinois,Big Ten,855
2025,2,AP Top 25,12,Arizona State,Big 12,850
2025,2,AP Top 25,13,Florida,SEC,737
2025,2,AP Top 25,14,Florida State,ACC,705
2025,2,AP Top 25,15,Michigan,Big Ten,686
2025,2,AP Top 25,16,Iowa State,Big 12,566
2025,2,AP Top 25,17,SMU,ACC,561
2025,2,AP Top 25,18,Oklahoma,SEC,519
2025,2,AP Top 25,19,Texas A&M,SEC,424
2025,2,AP Top 25,20,Ole Miss,SEC,393
2025,2,AP Top 25,21,Alabama,SEC,360
2025,2,AP Top 25,22,Tennessee,SEC,339
2025,2,AP Top 25,23,Indiana,Big Ten,257
2025,2,AP Top 25,24,Texas Tech,Big 12,247
2025,2,AP Top 25,25,Utah,Big 12,227
2025,3,Coaches Poll,1,Ohio State,Big Ten,1668
2025,3,Coaches Poll,2,Penn State,Big Ten,1576
2025,3,Coaches Poll,3,Georgia,SEC,1488
2025,3,Coaches Poll,4,LSU,SEC,1472
2025,3,Coaches Poll,5,Oregon,Big Ten,1423
2025,3,Coaches Poll,6,Miami,ACC,1330
2025,3,Coaches Poll,7,Texas,SEC,1288
2025,3,Coaches Poll,8,Notre Dame,FBS Independents,1041
2025,3,Coaches Poll,9,Illinois,Big Ten,1019
2025,3,Coaches Poll,10,South Carolina,SEC,1007
2025,3,Coaches Poll,11,Clemson,ACC,995
2025,3,Coaches Poll,12,Florida State,ACC,843
2025,3,Coaches Poll,13,Ole Miss,SEC,803
2025,3,Coaches Poll,14,Iowa State,Big 12,794
2025,3,Coaches Poll,15,Tennessee,SEC,733
2025,3,Coaches Poll,16,Oklahoma,SEC,693
2025,3,Coaches Poll,17,Texas A&M,SEC,514
2025,3,Coaches Poll,18,Alabama,SEC,436
2025,3,Coaches Poll,19,Indiana,Big Ten,425
2025,3,Coaches Poll,20,Texas Tech,Big 12,362
2025,3,Coaches Poll,21,Utah,Big 12,270
2025,3,Coaches Poll,22,Michigan,Big Ten,241
2025,3,Coaches Poll,23,South Florida,American Athletic,232
2025,3,Coaches Poll,24,Arizona State,Big 12,206
2025,3,Coaches Poll,25,BYU,Big 12,169
2025,3,AP Top 25,1,Ohio State,Big Ten,1614
2025,3,AP Top 25,2,Penn State,Big Ten,1524
2025,3,AP Top 25,3,LSU,SEC,1487
2025,3,AP Top 25,4,Oregon,Big Ten,1375
2025,3,AP Top 25,5,Miami,ACC,1360
2025,3,AP Top 25,6,Georgia,SEC,1350
2025,3,AP Top 25,7,Texas,SEC,1248
2025,3,AP Top 25,8,Notre Dame,FBS Independents,1086
2025,3,AP Top 25,9,Illinois,Big Ten,1001
2025,3,AP Top 25,10,Florida State,ACC,954
2025,3,AP Top 25,11,South Carolina,SEC,927
2025,3,AP Top 25,12,Clemson,ACC,894
2025,3,AP Top 25,13,Oklahoma,SEC,893
2025,3,AP Top 25,14,Iowa State,Big 12,794
2025,3,AP Top 25,15,Tennessee,SEC,537
2025,3,AP Top 25,16,Texas A&M,SEC,532
2025,3,AP Top 25,17,Ole Miss,SEC,518
2025,3,AP Top 25,18,South Florida,American Athletic,444
2025,3,AP Top 25,19,Alabama,SEC,396
2025,3,AP Top 25,20,Utah,Big 12,361
2025,3,AP Top 25,21,Texas Tech,Big 12,347
2025,3,AP Top 25,22,Indiana,Big Ten,331
2025,3,AP Top 25,23,Michigan,Big Ten,250
2025,3,AP Top 25,24,Auburn,SEC,172
2025,3,AP Top 25,25,Missouri,SEC,109
2025,4,Coaches Poll,1,Ohio State,Big Ten,1668
2025,4,Coaches Poll,2,Penn State,Big Ten,1559
2025,4,Coaches Poll,3,Georgia,SEC,1501
2025,4,Coaches Poll,4,LSU,SEC,1468
2025,4,Coaches Poll,5,Oregon,Big Ten,1444
2025,4,Coaches Poll,6,Miami,ACC,1379
2025,4,Coaches Poll,7,Texas,SEC,1209
2025,4,Coaches Poll,8,Illinois,Big Ten,1150
2025,4,Coaches Poll,9,Florida State,ACC,1023
2025,4,Coaches Poll,10,Texas A&M,SEC,1003
2025,4,Coaches Poll,11,Ole Miss,SEC,951
2025,4,Coaches Poll,12,Oklahoma,SEC,906
2025,4,Coaches Poll,13,Iowa State,Big 12,896
2025,4,Coaches Poll,14,Alabama,SEC,630
2025,4,Coaches Poll,15,Tennessee,SEC,625
2025,4,Coaches Poll,16,Texas Tech,Big 12,563
2025,4,Coaches Poll,17,Indiana,Big Ten,550
2025,4,Coaches Poll,18,Utah,Big 12,510
2025,4,Coaches Poll,19,Georgia Tech,ACC,333
2025,4,Coaches Poll,20,Michigan,Big Ten,316
2025,4,Coaches Poll,21,Notre Dame,FBS Independents,296
2025,4,Coaches Poll,22,Missouri,SEC,252
2025,4,Coaches Poll,23,Vanderbilt,SEC,249
2025,4,Coaches Poll,24,South Carolina,SEC,198
2025,4,Coaches Poll,25,Auburn,SEC,160
2025,4,AP Top 25,1,Ohio State,Big Ten,1631
2025,4,AP Top 25,2,Penn State,Big Ten,1490
2025,4,AP Top 25,3,LSU,SEC,1470
2025,4,AP Top 25,4,Miami,ACC,1434
2025,4,AP Top 25,5,Georgia,SEC,1428
2025,4,AP Top 25,6,Oregon,Big Ten,1423
2025,4,AP Top 25,7,Florida State,ACC,1123
2025,4,AP Top 25,8,Texas,SEC,1111
2025,4,AP Top 25,9,Illinois,Big Ten,1110
2025,4,AP Top 25,10,Texas A&M,SEC,1101
2025,4,AP Top 25,11,Oklahoma,SEC,1056
2025,4,AP Top 25,12,Iowa State,Big 12,820
2025,4,AP Top 25,13,Ole Miss,SEC,748
2025,4,AP Top 25,14,Alabama,SEC,599
2025,4,AP Top 25,15,Tennessee,SEC,583
2025,4,AP Top 25,16,Utah,Big 12,573
2025,4,AP Top 25,17,Texas Tech,Big 12,538
2025,4,AP Top 25,18,Georgia Tech,ACC,511
2025,4,AP Top 25,19,Indiana,Big Ten,458
2025,4,AP Top 25,20,Vanderbilt,SEC,397
2025,4,AP Top 25,21,Michigan,Big Ten,356
2025,4,AP Top 25,22,Auburn,SEC,344
2025,4,AP Top 25,23,Missouri,SEC,292
2025,4,AP Top 25,24,Notre Dame,FBS Independents,207
2025,4,AP Top 25,25,USC,Big Ten,105
2025,5,Coaches Poll,1,Ohio State,Big Ten,1667
2025,5,Coaches Poll,2,Penn State,Big Ten,1552
2025,5,Coaches Poll,3,Georgia,SEC,1497
2025,5,Coaches Poll,4,LSU,SEC,1458
2025,5,Coaches Poll,5,Oregon,Big Ten,1442
2025,5,Coaches Poll,6,Miami,ACC,1399
